id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
72644268,MDEwOlJlcG9zaXRvcnk3MjY0NDI2OA==,monet,noaa-oar-arl/monet,False,https://github.com/noaa-oar-arl/monet,The Model and ObservatioN Evaluation Toolkit (MONET),False,https://api.github.com/repos/noaa-oar-arl/monet,2016-11-02T13:49:07Z,2024-10-31T07:08:13Z,2024-11-21T20:14:10Z,https://monet-arl.readthedocs.io,60133,45,45,Python,True,True,True,False,True,True,21,,False,False,6,True,False,False,"['air', 'arl', 'cmaq', 'noaa', 'python', 'quality', 'verification', 'visualization']",public,21,6,45,stable,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
110711238,MDEwOlJlcG9zaXRvcnkxMTA3MTEyMzg=,utilhysplit,noaa-oar-arl/utilhysplit,False,https://github.com/noaa-oar-arl/utilhysplit,python code for creating HYSPLIT input files and processing HYSPLIT output files,False,https://api.github.com/repos/noaa-oar-arl/utilhysplit,2017-11-14T15:53:22Z,2024-09-09T01:45:50Z,2024-04-18T19:59:54Z,,2168,12,12,Python,True,True,True,True,False,False,4,,False,False,4,True,False,False,[],public,4,4,12,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
157890690,MDEwOlJlcG9zaXRvcnkxNTc4OTA2OTA=,nemsio2nc4,noaa-oar-arl/nemsio2nc4,False,https://github.com/noaa-oar-arl/nemsio2nc4,Convert FV3GFS nemsio output to netcdf,False,https://api.github.com/repos/noaa-oar-arl/nemsio2nc4,2018-11-16T16:05:43Z,2021-02-05T18:14:18Z,2021-02-05T18:14:16Z,,596,1,1,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
157893202,MDEwOlJlcG9zaXRvcnkxNTc4OTMyMDI=,fv3grib2nc4,noaa-oar-arl/fv3grib2nc4,False,https://github.com/noaa-oar-arl/fv3grib2nc4,,False,https://api.github.com/repos/noaa-oar-arl/fv3grib2nc4,2018-11-16T16:26:08Z,2021-06-29T14:18:41Z,2021-06-29T14:18:37Z,,23,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
159372732,MDEwOlJlcG9zaXRvcnkxNTkzNzI3MzI=,fv3grid,noaa-oar-arl/fv3grid,False,https://github.com/noaa-oar-arl/fv3grid,fv3 native grid information,False,https://api.github.com/repos/noaa-oar-arl/fv3grid,2018-11-27T17:19:40Z,2022-03-24T15:41:00Z,2022-03-24T15:40:54Z,,42544,0,0,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
179366623,MDEwOlJlcG9zaXRvcnkxNzkzNjY2MjM=,hemco_standalone_full,noaa-oar-arl/hemco_standalone_full,False,https://github.com/noaa-oar-arl/hemco_standalone_full,This is the makefile for the full HEMCO standalone model. Both the HEMCO code and the GEOS-Chem netCDF libraries are automatically installed.,False,https://api.github.com/repos/noaa-oar-arl/hemco_standalone_full,2019-04-03T20:37:55Z,2023-09-22T16:52:09Z,2019-10-02T18:51:33Z,,8,0,0,Makefile,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
185195421,MDEwOlJlcG9zaXRvcnkxODUxOTU0MjE=,hysplitplot,noaa-oar-arl/hysplitplot,False,https://github.com/noaa-oar-arl/hysplitplot,HYSPLIT Graphics in Python,False,https://api.github.com/repos/noaa-oar-arl/hysplitplot,2019-05-06T12:47:43Z,2024-02-06T15:28:47Z,2024-04-09T16:59:33Z,,2751,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,test,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
187245103,MDEwOlJlcG9zaXRvcnkxODcyNDUxMDM=,hemco_standalone,noaa-oar-arl/hemco_standalone,False,https://github.com/noaa-oar-arl/hemco_standalone,HEMCO standalone model environment,True,https://api.github.com/repos/noaa-oar-arl/hemco_standalone,2019-05-17T16:00:01Z,2020-03-09T14:50:43Z,2019-10-11T13:47:29Z,,28823,0,0,Fortran,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
196405790,MDEwOlJlcG9zaXRvcnkxOTY0MDU3OTA=,hysplitdata,noaa-oar-arl/hysplitdata,False,https://github.com/noaa-oar-arl/hysplitdata,HYSPLIT Data Model in Python,False,https://api.github.com/repos/noaa-oar-arl/hysplitdata,2019-07-11T14:00:57Z,2024-02-06T15:30:33Z,2024-09-06T16:55:42Z,,1676,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,test,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
208337010,MDEwOlJlcG9zaXRvcnkyMDgzMzcwMTA=,hemco,noaa-oar-arl/hemco,False,https://github.com/noaa-oar-arl/hemco,Harvard-NASA Emissions Component (HEMCO) source code,True,https://api.github.com/repos/noaa-oar-arl/hemco,2019-09-13T19:57:29Z,2020-03-09T14:50:09Z,2020-02-11T17:55:12Z,,2313,1,1,Fortran,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,noaa-oar-arl,20908226,MDEyOk9yZ2FuaXphdGlvbjIwOTA4MjI2,Organization,public,False,,,,,,False,False,False,False,True,
