id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
75949222,MDEwOlJlcG9zaXRvcnk3NTk0OTIyMg==,nsf-common-ember-components,nsf-open/nsf-common-ember-components,False,https://github.com/nsf-open/nsf-common-ember-components,"A useful set of common Ember JavaScript components used at NSF which include DataGrid, Tool Tips, Calendar Widgets, and more.",False,https://api.github.com/repos/nsf-open/nsf-common-ember-components,2016-12-08T15:20:00Z,2023-03-07T19:57:46Z,2018-10-23T13:39:29Z,,494,1,1,HTML,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,1,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
95007507,MDEwOlJlcG9zaXRvcnk5NTAwNzUwNw==,nsf-ember-tooltip,nsf-open/nsf-ember-tooltip,False,https://github.com/nsf-open/nsf-ember-tooltip,The power of Tooltipster in an Ember component,False,https://api.github.com/repos/nsf-open/nsf-ember-tooltip,2017-06-21T13:32:45Z,2023-03-07T19:58:17Z,2018-10-23T13:42:19Z,,38,2,2,JavaScript,True,True,True,True,False,False,1,,True,False,0,True,False,False,"['ember-addons', 'ember-components', 'national-science-foundation', 'nsf', 'nsf-ember-tooltip', 'tooltips', 'tooltipster']",public,1,0,2,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
97609226,MDEwOlJlcG9zaXRvcnk5NzYwOTIyNg==,nsf-ember-message-queue,nsf-open/nsf-ember-message-queue,False,https://github.com/nsf-open/nsf-ember-message-queue,Provides easy management and display of notifications in Ember applications.,False,https://api.github.com/repos/nsf-open/nsf-ember-message-queue,2017-07-18T14:37:25Z,2017-07-18T14:38:45Z,2017-07-18T16:12:11Z,,22,0,0,JavaScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
98213529,MDEwOlJlcG9zaXRvcnk5ODIxMzUyOQ==,nsf,nsf-open/nsf,False,https://github.com/nsf-open/nsf,Repo for the NSF Site Redesign & Content Discovery project,False,https://api.github.com/repos/nsf-open/nsf,2017-07-24T16:52:21Z,2018-09-26T00:51:32Z,2019-01-16T01:09:22Z,https://nsf-demo.app.cloud.gov,21070,4,4,CSS,True,True,True,True,False,False,4,,False,False,46,True,False,False,[],public,4,46,4,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
99930094,MDEwOlJlcG9zaXRvcnk5OTkzMDA5NA==,rest-service-inbox,nsf-open/rest-service-inbox,False,https://github.com/nsf-open/rest-service-inbox,,False,https://api.github.com/repos/nsf-open/rest-service-inbox,2017-08-10T14:09:05Z,2018-10-16T19:13:11Z,2018-10-16T19:13:09Z,,52,0,0,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
99931175,MDEwOlJlcG9zaXRvcnk5OTkzMTE3NQ==,rest-service-email,nsf-open/rest-service-email,False,https://github.com/nsf-open/rest-service-email,,False,https://api.github.com/repos/nsf-open/rest-service-email,2017-08-10T14:20:14Z,2021-01-20T09:27:56Z,2018-10-18T13:11:03Z,,85,1,1,Java,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
99931933,MDEwOlJlcG9zaXRvcnk5OTkzMTkzMw==,rest-service-system-advisory,nsf-open/rest-service-system-advisory,False,https://github.com/nsf-open/rest-service-system-advisory,,False,https://api.github.com/repos/nsf-open/rest-service-system-advisory,2017-08-10T14:27:21Z,2018-10-18T13:15:15Z,2018-10-18T13:15:13Z,,48,0,0,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
99932152,MDEwOlJlcG9zaXRvcnk5OTkzMjE1Mg==,rest-service-toggle,nsf-open/rest-service-toggle,False,https://github.com/nsf-open/rest-service-toggle,,False,https://api.github.com/repos/nsf-open/rest-service-toggle,2017-08-10T14:29:34Z,2018-10-18T13:10:37Z,2018-10-18T13:10:35Z,,30,0,0,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
151448135,MDEwOlJlcG9zaXRvcnkxNTE0NDgxMzU=,rest-service-compliance-validation,nsf-open/rest-service-compliance-validation,False,https://github.com/nsf-open/rest-service-compliance-validation,,False,https://api.github.com/repos/nsf-open/rest-service-compliance-validation,2018-10-03T16:55:31Z,2018-10-18T13:10:08Z,2018-10-18T13:10:06Z,,182,0,0,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
151448289,MDEwOlJlcG9zaXRvcnkxNTE0NDgyODk=,rest-service-document-compliance,nsf-open/rest-service-document-compliance,False,https://github.com/nsf-open/rest-service-document-compliance,,False,https://api.github.com/repos/nsf-open/rest-service-document-compliance,2018-10-03T16:56:42Z,2018-10-16T15:47:47Z,2018-10-16T15:47:45Z,,55,0,0,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,nsf-open,23663503,MDEyOk9yZ2FuaXphdGlvbjIzNjYzNTAz,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
