id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
46302063,MDEwOlJlcG9zaXRvcnk0NjMwMjA2Mw==,OCNMS,nwfsc-cb/OCNMS,False,https://github.com/nwfsc-cb/OCNMS,,False,https://api.github.com/repos/nwfsc-cb/OCNMS,2015-11-16T20:54:30Z,2024-11-12T20:43:04Z,2024-11-12T20:42:54Z,,1345095,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
128123447,MDEwOlJlcG9zaXRvcnkxMjgxMjM0NDc=,spring-chinook-distribution,nwfsc-cb/spring-chinook-distribution,False,https://github.com/nwfsc-cb/spring-chinook-distribution,"Repository for joining RMIS release, recovery, and location data from Chinook and coho salmon coastwide, 1974 - present",False,https://api.github.com/repos/nwfsc-cb/spring-chinook-distribution,2018-04-04T21:20:05Z,2022-05-02T16:42:35Z,2024-02-22T18:27:40Z,,423509,0,0,HTML,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
212652503,MDEwOlJlcG9zaXRvcnkyMTI2NTI1MDM=,eDNA-Hake,nwfsc-cb/eDNA-Hake,False,https://github.com/nwfsc-cb/eDNA-Hake,Data and scripts associated with the 2019 Hake eDNA cruise,False,https://api.github.com/repos/nwfsc-cb/eDNA-Hake,2019-10-03T18:39:55Z,2023-01-24T14:46:41Z,2024-02-05T20:35:54Z,,523452,3,3,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
212848540,MDEwOlJlcG9zaXRvcnkyMTI4NDg1NDA=,rmis-data,nwfsc-cb/rmis-data,False,https://github.com/nwfsc-cb/rmis-data,"Chinook and coho data from RMIS, joined by releases / recoveries and statistical areas, etc",False,https://api.github.com/repos/nwfsc-cb/rmis-data,2019-10-04T15:35:41Z,2024-04-26T16:16:15Z,2023-10-24T23:32:58Z,,266349,1,1,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
243336401,MDEwOlJlcG9zaXRvcnkyNDMzMzY0MDE=,phenomix,nwfsc-cb/phenomix,False,https://github.com/nwfsc-cb/phenomix,R package for fitting distributions to run timing data via maximum likelihood,False,https://api.github.com/repos/nwfsc-cb/phenomix,2020-02-26T18:32:50Z,2024-11-23T00:07:41Z,2024-05-02T13:23:11Z,,6599,5,5,R,True,True,True,True,True,False,0,,False,False,1,,True,False,False,['r-package'],public,0,1,5,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
368339702,MDEwOlJlcG9zaXRvcnkzNjgzMzk3MDI=,pseudorep,nwfsc-cb/pseudorep,False,https://github.com/nwfsc-cb/pseudorep,"Repo for Waples et al. ""Pseudoreplication in genomics-scale datasets"", Molecular Ecology Resources",False,https://api.github.com/repos/nwfsc-cb/pseudorep,2021-05-17T22:43:41Z,2021-06-11T18:24:41Z,2021-06-11T18:24:38Z,,12691,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
377592944,MDEwOlJlcG9zaXRvcnkzNzc1OTI5NDQ=,shellfish-genetic-risks,nwfsc-cb/shellfish-genetic-risks,False,https://github.com/nwfsc-cb/shellfish-genetic-risks,Repo for hosting R package for shellfish genetic risk modeling,False,https://api.github.com/repos/nwfsc-cb/shellfish-genetic-risks,2021-06-16T18:33:12Z,2024-11-23T00:09:34Z,2021-09-14T05:27:43Z,https://nwfsc-cb.github.io/shellfish-genetic-risks/,5380,0,0,Python,True,True,True,True,True,False,1,,False,False,6,,True,False,False,['r-package'],public,1,6,0,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
425953576,R_kgDOGWOJKA,eDNA-Hake-public,nwfsc-cb/eDNA-Hake-public,False,https://github.com/nwfsc-cb/eDNA-Hake-public,Public data and scripts for 2019 hake survey analyses,False,https://api.github.com/repos/nwfsc-cb/eDNA-Hake-public,2021-11-08T18:39:59Z,2023-02-07T20:55:53Z,2022-02-10T18:56:26Z,,19195,3,3,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
492982039,R_kgDOHWJPFw,Toward_Quantitative_Metabarcoding,nwfsc-cb/Toward_Quantitative_Metabarcoding,False,https://github.com/nwfsc-cb/Toward_Quantitative_Metabarcoding,,False,https://api.github.com/repos/nwfsc-cb/Toward_Quantitative_Metabarcoding,2022-05-16T20:00:25Z,2023-03-02T00:24:56Z,2022-10-07T21:38:09Z,,15900,1,1,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
572298560,R_kgDOIhyVQA,rCAX,nwfsc-cb/rCAX,False,https://github.com/nwfsc-cb/rCAX,rCAX R package: an R client to access the REST API for the StreamNet Coordinated Assessments tables,False,https://api.github.com/repos/nwfsc-cb/rCAX,2022-11-30T01:00:20Z,2023-12-22T18:41:14Z,2023-11-28T23:05:16Z,https://nwfsc-cb.github.io/rCAX/,1823,5,5,R,True,True,True,True,True,True,1,,False,False,9,,True,False,False,"['noaa', 'r-package', 'rest-api', 'salmon']",public,1,9,5,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
666117081,R_kgDOJ7Qj2Q,Threshold-Detection,nwfsc-cb/Threshold-Detection,False,https://github.com/nwfsc-cb/Threshold-Detection,Repo for simulation studies to explore detectability of ecological thresholds,False,https://api.github.com/repos/nwfsc-cb/Threshold-Detection,2023-07-13T18:51:04Z,2024-11-23T18:50:04Z,2024-11-23T18:50:00Z,,26407,1,1,HTML,True,True,True,True,False,False,0,,False,False,3,,True,False,False,[],public,0,3,1,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
709889781,R_kgDOKlAO9Q,hatchery-forecast,nwfsc-cb/hatchery-forecast,False,https://github.com/nwfsc-cb/hatchery-forecast,,False,https://api.github.com/repos/nwfsc-cb/hatchery-forecast,2023-10-25T15:41:10Z,2023-10-25T15:42:45Z,2023-10-25T15:42:41Z,,233,0,0,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=
723461217,R_kgDOKx8kYQ,.github,nwfsc-cb/.github,False,https://github.com/nwfsc-cb/.github,,False,https://api.github.com/repos/nwfsc-cb/.github,2023-11-25T18:35:17Z,2023-11-25T18:35:17Z,2023-11-29T22:09:56Z,,12,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
723778794,R_kgDOKyP86g,nwfsc-math-bio,nwfsc-cb/nwfsc-math-bio,False,https://github.com/nwfsc-cb/nwfsc-math-bio,Math Bio Program repositories,False,https://api.github.com/repos/nwfsc-cb/nwfsc-math-bio,2023-11-26T18:27:11Z,2023-11-26T18:30:46Z,2023-11-26T18:32:09Z,https://nwfsc-cb.github.io/nwfsc-math-bio/,1199,0,0,CSS,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,nwfsc-cb,36515201,MDEyOk9yZ2FuaXphdGlvbjM2NTE1MjAx,Organization,public,False,False,False,False,False,True,,,,,
