id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
130536942,MDEwOlJlcG9zaXRvcnkxMzA1MzY5NDI=,kivy,nwfsc-fram/kivy,False,https://github.com/nwfsc-fram/kivy,The master_12rb_dev branch is used for AUV 12RB (one two red blue) installs,True,https://api.github.com/repos/nwfsc-fram/kivy,2018-04-22T05:05:21Z,2021-09-30T00:17:41Z,2021-09-29T23:17:05Z,,61495,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
131193506,MDEwOlJlcG9zaXRvcnkxMzExOTM1MDY=,sumpis,nwfsc-fram/sumpis,False,https://github.com/nwfsc-fram/sumpis,Seabird data processing scripts in perl from UW APL written by Wendi Ruef,True,https://api.github.com/repos/nwfsc-fram/sumpis,2018-04-26T18:08:35Z,2021-09-30T00:18:06Z,2021-09-30T00:11:36Z,,8031,0,0,Perl,False,True,True,True,False,False,0,,False,False,0,True,False,False,"['ctd', 'perl', 'seabird', 'uw']",public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
150340026,MDEwOlJlcG9zaXRvcnkxNTAzNDAwMjY=,boatnet,nwfsc-fram/boatnet,False,https://github.com/nwfsc-fram/boatnet,At-Sea Field Data Collection Software Components for Scientific Surveys and Observers,False,https://api.github.com/repos/nwfsc-fram/boatnet,2018-09-25T23:11:52Z,2021-10-19T20:58:01Z,2021-10-29T07:01:06Z,,24739,8,8,Vue,True,True,True,True,False,False,5,,False,False,285,True,False,False,"['fisheries', 'noaa']",public,5,285,8,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
159431195,MDEwOlJlcG9zaXRvcnkxNTk0MzExOTU=,FishEyeApp,nwfsc-fram/FishEyeApp,False,https://github.com/nwfsc-fram/FishEyeApp,Economic and Social Science Research FishEye Application,False,https://api.github.com/repos/nwfsc-fram/FishEyeApp,2018-11-28T02:28:03Z,2021-10-29T18:29:36Z,2021-09-29T22:22:39Z,,761450,2,2,HTML,True,True,True,True,False,False,0,,False,False,11,True,False,False,[],public,0,11,2,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
159432267,MDEwOlJlcG9zaXRvcnkxNTk0MzIyNjc=,pyDidson,nwfsc-fram/pyDidson,False,https://github.com/nwfsc-fram/pyDidson,Python library for reading Soundmetrics DIDSON sonar video,False,https://api.github.com/repos/nwfsc-fram/pyDidson,2018-11-28T02:36:56Z,2023-03-03T07:14:25Z,2021-10-20T23:40:09Z,,6,1,1,Python,True,True,True,True,False,False,0,,False,False,2,True,False,False,[],public,0,2,1,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
170545354,MDEwOlJlcG9zaXRvcnkxNzA1NDUzNTQ=,warehouse,nwfsc-fram/warehouse,False,https://github.com/nwfsc-fram/warehouse,FRAM Data Warehouse - Public,False,https://api.github.com/repos/nwfsc-fram/warehouse,2019-02-13T16:59:58Z,2021-11-15T20:12:50Z,2023-05-01T20:18:08Z,,19922,5,5,Python,True,True,True,True,False,False,1,,False,False,36,True,False,False,[],public,1,36,5,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
175321554,MDEwOlJlcG9zaXRvcnkxNzUzMjE1NTQ=,OceanTS,nwfsc-fram/OceanTS,False,https://github.com/nwfsc-fram/OceanTS,Oceanographic data processing in Typescript using NodeJS and Apache Arrow,False,https://api.github.com/repos/nwfsc-fram/OceanTS,2019-03-13T01:11:56Z,2021-09-30T00:23:33Z,2022-12-08T19:13:15Z,,67658,0,0,TypeScript,True,True,True,True,False,False,3,,False,False,51,True,False,False,"['apache-arrow', 'ctd', 'noaa', 'oceanography', 'sbe19plusv2', 'seabird']",public,3,51,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
190800192,MDEwOlJlcG9zaXRvcnkxOTA4MDAxOTI=,SaildroneTS,nwfsc-fram/SaildroneTS,False,https://github.com/nwfsc-fram/SaildroneTS,Software for querying the Saildrone API,False,https://api.github.com/repos/nwfsc-fram/SaildroneTS,2019-06-07T19:48:36Z,2021-09-30T00:24:19Z,2022-12-09T05:31:16Z,,1808,0,0,TypeScript,True,True,True,True,False,False,0,,False,False,20,True,False,False,"['acoustics', 'atmospheric', 'noaa', 'oceanography', 'saildrone']",public,0,20,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
204938091,MDEwOlJlcG9zaXRvcnkyMDQ5MzgwOTE=,MongoTest,nwfsc-fram/MongoTest,False,https://github.com/nwfsc-fram/MongoTest,GitHub repository for AWS CodeStar Node.js web application mongotest.,False,https://api.github.com/repos/nwfsc-fram/MongoTest,2019-08-28T13:26:44Z,2021-09-30T00:24:34Z,2021-09-30T00:11:43Z,,8,0,0,HTML,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
218890215,MDEwOlJlcG9zaXRvcnkyMTg4OTAyMTU=,research-catch-db,nwfsc-fram/research-catch-db,False,https://github.com/nwfsc-fram/research-catch-db,,False,https://api.github.com/repos/nwfsc-fram/research-catch-db,2019-11-01T01:27:28Z,2021-10-20T23:40:22Z,2022-12-04T19:06:25Z,,2655,0,0,Vue,True,True,True,True,False,False,2,,False,False,28,True,False,False,[],public,2,28,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
221750679,MDEwOlJlcG9zaXRvcnkyMjE3NTA2Nzk=,boatnet-module,nwfsc-fram/boatnet-module,False,https://github.com/nwfsc-fram/boatnet-module,Boatnet NPM package,False,https://api.github.com/repos/nwfsc-fram/boatnet-module,2019-11-14T17:22:16Z,2024-01-15T07:48:29Z,2022-12-22T22:29:44Z,,3456,2,2,TypeScript,True,True,True,True,False,False,0,,False,False,19,True,False,False,[],public,0,19,2,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
221750910,MDEwOlJlcG9zaXRvcnkyMjE3NTA5MTA=,pyFieldSoftware,nwfsc-fram/pyFieldSoftware,False,https://github.com/nwfsc-fram/pyFieldSoftware,,False,https://api.github.com/repos/nwfsc-fram/pyFieldSoftware,2019-11-14T17:23:47Z,2022-12-08T14:45:23Z,2023-07-20T13:13:23Z,,4575,1,1,Python,True,True,True,True,False,False,1,,False,False,134,True,False,False,[],public,1,134,1,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
221787897,MDEwOlJlcG9zaXRvcnkyMjE3ODc4OTc=,cGeographicLib,nwfsc-fram/cGeographicLib,False,https://github.com/nwfsc-fram/cGeographicLib,C code compiled as a DLL for use in Trawl Analyzer for very fast great circle geographic calculations,False,https://api.github.com/repos/nwfsc-fram/cGeographicLib,2019-11-14T21:13:54Z,2021-09-30T00:26:03Z,2021-09-29T22:23:41Z,,202,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,"['c', 'geography', 'noaa']",public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
221803504,MDEwOlJlcG9zaXRvcnkyMjE4MDM1MDQ=,TripsApi,nwfsc-fram/TripsApi,False,https://github.com/nwfsc-fram/TripsApi,Simple micro-service to provide unique trip identifiers.,False,https://api.github.com/repos/nwfsc-fram/TripsApi,2019-11-14T23:16:19Z,2021-10-20T23:39:59Z,2021-10-29T07:01:20Z,,1683,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
252803296,MDEwOlJlcG9zaXRvcnkyNTI4MDMyOTY=,landings_tracker_2020,nwfsc-fram/landings_tracker_2020,False,https://github.com/nwfsc-fram/landings_tracker_2020,a shiny app to track landings by fishery in 2020,False,https://api.github.com/repos/nwfsc-fram/landings_tracker_2020,2020-04-03T17:58:27Z,2021-10-29T18:30:07Z,2021-09-30T00:11:56Z,,615,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
285939080,MDEwOlJlcG9zaXRvcnkyODU5MzkwODA=,OceanDataProcessing,nwfsc-fram/OceanDataProcessing,False,https://github.com/nwfsc-fram/OceanDataProcessing,CTD Processing,False,https://api.github.com/repos/nwfsc-fram/OceanDataProcessing,2020-08-07T23:36:48Z,2021-09-30T00:26:56Z,2021-09-30T00:12:26Z,,345704,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,nwfsc-fram,9870973,MDEyOk9yZ2FuaXphdGlvbjk4NzA5NzM=,Organization,public,False,,,,,,False,False,False,False,True,
