id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
10920101,MDEwOlJlcG9zaXRvcnkxMDkyMDEwMQ==,PGI-Accelerator-Vector-Addition,olcf/PGI-Accelerator-Vector-Addition,False,https://github.com/olcf/PGI-Accelerator-Vector-Addition,Vector Addition tutorial using acceleration techniques provided by the PGI Fortran compiler,False,https://api.github.com/repos/olcf/PGI-Accelerator-Vector-Addition,2013-06-24T20:59:16Z,2018-02-28T09:21:18Z,2018-01-02T23:15:34Z,https://www.olcf.ornl.gov/support/tutorials/,3,2,2,Fortran,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,2,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
11423802,MDEwOlJlcG9zaXRvcnkxMTQyMzgwMg==,OpenACC_workshop_072013,olcf/OpenACC_workshop_072013,False,https://github.com/olcf/OpenACC_workshop_072013,"07.2013 OLCF OpenACC Workshop by John Levesque, Jeff Larking and Heidi Poxon",False,https://api.github.com/repos/olcf/OpenACC_workshop_072013,2013-07-15T13:31:06Z,2023-10-09T00:15:44Z,2013-07-18T15:49:34Z,,157998,2,2,C,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,2,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
11796615,MDEwOlJlcG9zaXRvcnkxMTc5NjYxNQ==,Data_Workshop_082013,olcf/Data_Workshop_082013,False,https://github.com/olcf/Data_Workshop_082013,"Data Workshop held in Knoxville, TN",False,https://api.github.com/repos/olcf/Data_Workshop_082013,2013-07-31T17:23:38Z,2016-05-17T14:09:29Z,2013-08-06T15:24:50Z,,10016,0,0,FORTRAN,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
11910895,MDEwOlJlcG9zaXRvcnkxMTkxMDg5NQ==,iPython-Molecular-Dynamics,olcf/iPython-Molecular-Dynamics,False,https://github.com/olcf/iPython-Molecular-Dynamics,Simple Molecular Dynamics Simulation and Analysis using iPython,False,https://api.github.com/repos/olcf/iPython-Molecular-Dynamics,2013-08-05T23:05:38Z,2023-10-16T04:34:28Z,2013-08-08T17:45:52Z,,228,3,3,Python,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,3,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
12925710,MDEwOlJlcG9zaXRvcnkxMjkyNTcxMA==,Serial-to-Parallel--Monte-Carlo-Pi,olcf/Serial-to-Parallel--Monte-Carlo-Pi,False,https://github.com/olcf/Serial-to-Parallel--Monte-Carlo-Pi,This tutorial covers how to write a parallel program to calculate π using the Monte Carlo method with MPI and OpenMP,False,https://api.github.com/repos/olcf/Serial-to-Parallel--Monte-Carlo-Pi,2013-09-18T14:43:59Z,2024-12-02T09:14:49Z,2018-06-27T12:50:21Z,,25,28,28,C,True,True,True,True,False,False,14,,False,False,4,True,False,False,[],public,14,4,28,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
13132413,MDEwOlJlcG9zaXRvcnkxMzEzMjQxMw==,PETSc-tutorial,olcf/PETSc-tutorial,False,https://github.com/olcf/PETSc-tutorial,,False,https://api.github.com/repos/olcf/PETSc-tutorial,2013-09-26T19:39:59Z,2024-02-13T07:32:06Z,2013-09-26T19:47:22Z,,120,8,8,FORTRAN,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,8,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
13601838,MDEwOlJlcG9zaXRvcnkxMzYwMTgzOA==,XC30-Training,olcf/XC30-Training,False,https://github.com/olcf/XC30-Training,Sides and Exercises from October 17 XC30 training,False,https://api.github.com/repos/olcf/XC30-Training,2013-10-15T20:47:56Z,2024-02-14T21:20:33Z,2013-10-28T17:26:29Z,,16272,6,6,C,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,6,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
14150019,MDEwOlJlcG9zaXRvcnkxNDE1MDAxOQ==,handson,olcf/handson,False,https://github.com/olcf/handson,collection of hands on exercises,False,https://api.github.com/repos/olcf/handson,2013-11-05T18:26:44Z,2013-11-05T23:12:58Z,2013-11-05T19:03:28Z,,112,2,2,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,2,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
14381353,MDEwOlJlcG9zaXRvcnkxNDM4MTM1Mw==,NOPH,olcf/NOPH,False,https://github.com/olcf/NOPH,Mapping Numerical Optimization to Parallel Hardware ,False,https://api.github.com/repos/olcf/NOPH,2013-11-14T01:05:10Z,2013-11-14T01:05:10Z,2013-11-14T01:05:10Z,,56,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
14430940,MDEwOlJlcG9zaXRvcnkxNDQzMDk0MA==,Accelerating-Serial-Code,olcf/Accelerating-Serial-Code,False,https://github.com/olcf/Accelerating-Serial-Code,This tutorial will show how to parallelize a simple Monte Carlo operation using a GPU accelerator.,False,https://api.github.com/repos/olcf/Accelerating-Serial-Code,2013-11-15T17:42:00Z,2020-09-30T14:08:22Z,2014-03-28T17:00:02Z,,155,6,6,C,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,6,master,olcf,3866754,MDEyOk9yZ2FuaXphdGlvbjM4NjY3NTQ=,Organization,public,False,,,,,,False,False,False,False,True,
