id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
16740895,MDEwOlJlcG9zaXRvcnkxNjc0MDg5NQ==,documentation,onc-healthit/documentation,False,https://github.com/onc-healthit/documentation,Documentation for the SITE project,False,https://api.github.com/repos/onc-healthit/documentation,2014-02-11T18:38:09Z,2024-03-17T21:40:14Z,2015-08-03T13:30:10Z,,10069,3,3,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,3,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
19542742,MDEwOlJlcG9zaXRvcnkxOTU0Mjc0Mg==,soap,onc-healthit/soap,False,https://github.com/onc-healthit/soap,This is the repository for all SOAP Related Tools used by SITE.,False,https://api.github.com/repos/onc-healthit/soap,2014-05-07T16:58:31Z,2022-01-04T20:48:15Z,2016-02-29T15:14:11Z,,2609,2,2,Java,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,2,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
24644096,MDEwOlJlcG9zaXRvcnkyNDY0NDA5Ng==,code-validator-api,onc-healthit/code-validator-api,False,https://github.com/onc-healthit/code-validator-api,Source code for the Vocabulary Validator API and Service,False,https://api.github.com/repos/onc-healthit/code-validator-api,2014-09-30T15:42:12Z,2024-11-04T08:12:54Z,2024-10-30T20:33:30Z,,10697,7,7,Java,True,True,True,True,False,False,30,,False,False,10,,True,False,False,[],public,30,10,7,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
29688868,MDEwOlJlcG9zaXRvcnkyOTY4ODg2OA==,site-getdc,onc-healthit/site-getdc,False,https://github.com/onc-healthit/site-getdc,Site Get DC service based on getdc,False,https://api.github.com/repos/onc-healthit/site-getdc,2015-01-22T16:45:30Z,2024-03-12T12:39:01Z,2019-02-22T13:54:54Z,,14,1,1,Java,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
29742444,MDEwOlJlcG9zaXRvcnkyOTc0MjQ0NA==,site-ccdas,onc-healthit/site-ccdas,False,https://github.com/onc-healthit/site-ccdas,Sample C-CDA files,False,https://api.github.com/repos/onc-healthit/site-ccdas,2015-01-23T16:52:24Z,2024-03-17T21:39:57Z,2015-01-23T18:56:09Z,,996,4,4,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,4,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
38268969,MDEwOlJlcG9zaXRvcnkzODI2ODk2OQ==,direct-vendor-tools,onc-healthit/direct-vendor-tools,False,https://github.com/onc-healthit/direct-vendor-tools,Vendor Registration for Direct Vendor tools,False,https://api.github.com/repos/onc-healthit/direct-vendor-tools,2015-06-29T20:14:15Z,2024-03-12T12:39:33Z,2015-12-23T18:31:08Z,,1847,1,1,JavaScript,True,True,True,True,False,False,4,,True,False,1,,True,False,False,[],public,4,1,1,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
38328296,MDEwOlJlcG9zaXRvcnkzODMyODI5Ng==,reference-ccda-validator,onc-healthit/reference-ccda-validator,False,https://github.com/onc-healthit/reference-ccda-validator,Deployable C-CDA Validator war source code. Use this repository to build and deploy a validator on your local environment.,False,https://api.github.com/repos/onc-healthit/reference-ccda-validator,2015-06-30T19:17:34Z,2024-10-07T14:38:30Z,2024-12-09T17:24:28Z,,63843,36,36,Java,True,True,True,True,False,False,37,,False,False,10,,True,False,False,[],public,37,10,36,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
38888432,MDEwOlJlcG9zaXRvcnkzODg4ODQzMg==,dcdt,onc-healthit/dcdt,False,https://github.com/onc-healthit/dcdt,A tool for testing a system's ability to host and discover Direct certificates,False,https://api.github.com/repos/onc-healthit/dcdt,2015-07-10T15:44:10Z,2024-07-22T20:11:13Z,2024-07-22T20:11:11Z,,17517,1,1,Java,False,True,True,False,False,False,4,,False,False,17,,True,False,False,[],public,4,17,1,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
42595253,MDEwOlJlcG9zaXRvcnk0MjU5NTI1Mw==,fhir-tools,onc-healthit/fhir-tools,False,https://github.com/onc-healthit/fhir-tools,Source code for the FHIR tools on SITE,False,https://api.github.com/repos/onc-healthit/fhir-tools,2015-09-16T15:17:01Z,2024-11-21T07:34:52Z,2024-11-26T14:27:12Z,https://www.healthit.gov/SITE,72924,13,13,Java,True,True,True,True,False,False,7,,False,False,51,,True,False,False,[],public,7,51,13,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
47764776,MDEwOlJlcG9zaXRvcnk0Nzc2NDc3Ng==,2015-ccda-certification-samples,onc-healthit/2015-ccda-certification-samples,False,https://github.com/onc-healthit/2015-ccda-certification-samples,Submitted C-CDA's from ONC 2015 Edition testing,False,https://api.github.com/repos/onc-healthit/2015-ccda-certification-samples,2015-12-10T13:49:42Z,2024-10-07T10:54:05Z,2021-01-24T18:07:13Z,,12132,16,16,XSLT,True,True,True,True,False,False,9,,False,False,2,,True,False,False,[],public,9,2,16,master,onc-healthit,5271040,MDEyOk9yZ2FuaXphdGlvbjUyNzEwNDA=,Organization,public,False,False,False,False,False,True,,,,,
