id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
6093169,MDEwOlJlcG9zaXRvcnk2MDkzMTY5,regex-stream,ornl-sava/regex-stream,False,https://github.com/ornl-sava/regex-stream,node.js module for regular expression parsing on streams,False,https://api.github.com/repos/ornl-sava/regex-stream,2012-10-05T16:28:23Z,2023-01-28T11:10:22Z,2017-12-11T13:30:58Z,http://ornl-situ.github.com/regex-stream/,4850,9,9,HTML,True,True,True,True,True,False,3,,True,False,0,True,False,False,[],public,3,0,9,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6296223,MDEwOlJlcG9zaXRvcnk2Mjk2MjIz,nv,ornl-sava/nv,False,https://github.com/ornl-sava/nv,Nessus Vulnerability visualization for the web,False,https://api.github.com/repos/ornl-sava/nv,2012-10-19T14:26:36Z,2021-04-13T20:52:06Z,2016-01-25T16:08:26Z,http://ornl-sava.github.io/nv/,33366,31,31,JavaScript,True,True,True,True,True,False,6,,False,False,12,True,False,False,[],public,6,12,31,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6339611,MDEwOlJlcG9zaXRvcnk2MzM5NjEx,log-tool,ornl-sava/log-tool,False,https://github.com/ornl-sava/log-tool,node.js tool to read and parse log files to send to any stream,False,https://api.github.com/repos/ornl-sava/log-tool,2012-10-22T17:49:31Z,2023-01-28T11:10:22Z,2013-07-30T20:29:51Z,,16608,4,4,JavaScript,True,True,True,True,False,False,4,,True,False,0,True,False,False,[],public,4,0,4,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6478223,MDEwOlJlcG9zaXRvcnk2NDc4MjIz,replay-stream,ornl-sava/replay-stream,False,https://github.com/ornl-sava/replay-stream,node.js stream module to filter or replay items based on timestamp,False,https://api.github.com/repos/ornl-sava/replay-stream,2012-10-31T17:51:57Z,2023-01-28T11:10:22Z,2018-01-02T14:23:08Z,http://ornl-situ.github.com/replay-stream/,4824,3,3,HTML,True,True,True,True,True,False,2,,True,False,0,True,False,False,[],public,2,0,3,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6677820,MDEwOlJlcG9zaXRvcnk2Njc3ODIw,redis-pubsub-stream,ornl-sava/redis-pubsub-stream,False,https://github.com/ornl-sava/redis-pubsub-stream,Node.js module to send a stream of items to a Redis pubsub channel,False,https://api.github.com/repos/ornl-sava/redis-pubsub-stream,2012-11-13T21:18:11Z,2023-01-28T11:10:22Z,2018-01-02T14:22:03Z,,734,0,0,JavaScript,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6677992,MDEwOlJlcG9zaXRvcnk2Njc3OTky,redis-row-stream,ornl-sava/redis-row-stream,False,https://github.com/ornl-sava/redis-row-stream,Node.js module to persist a stream of items to Redis,False,https://api.github.com/repos/ornl-sava/redis-row-stream,2012-11-13T21:29:44Z,2023-01-28T11:10:22Z,2018-01-02T14:22:24Z,,1269,0,0,JavaScript,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
7671369,MDEwOlJlcG9zaXRvcnk3NjcxMzY5,cms-geovar,ornl-sava/cms-geovar,False,https://github.com/ornl-sava/cms-geovar,CMS geographic variation map visualization ,False,https://api.github.com/repos/ornl-sava/cms-geovar,2013-01-17T18:04:34Z,2018-01-09T18:18:16Z,2018-01-09T18:18:14Z,http://ornl-sava.github.io/cms-geovar/,87947,1,1,JavaScript,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
11904868,MDEwOlJlcG9zaXRvcnkxMTkwNDg2OA==,yaml-config-node,ornl-sava/yaml-config-node,False,https://github.com/ornl-sava/yaml-config-node,"Manage your node.js app configuration based on NODE_ENV, all configuration defined in yaml",True,https://api.github.com/repos/ornl-sava/yaml-config-node,2013-08-05T17:53:16Z,2023-01-28T11:10:22Z,2013-08-07T20:37:03Z,,59,0,0,JavaScript,False,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,,,,,,False,False,False,False,True,
12055300,MDEwOlJlcG9zaXRvcnkxMjA1NTMwMA==,yayaml-config,ornl-sava/yayaml-config,False,https://github.com/ornl-sava/yayaml-config,Yet Another Yaml configuration module for loading multiple environment settings from a single settings file,False,https://api.github.com/repos/ornl-sava/yayaml-config,2013-08-12T12:25:42Z,2023-01-28T11:10:22Z,2017-01-04T16:03:32Z,,10,0,0,JavaScript,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
97156072,MDEwOlJlcG9zaXRvcnk5NzE1NjA3Mg==,vis-react-components,ornl-sava/vis-react-components,False,https://github.com/ornl-sava/vis-react-components,Collection of React components for building visualizations,False,https://api.github.com/repos/ornl-sava/vis-react-components,2017-07-13T19:03:56Z,2021-05-02T16:51:09Z,2023-01-03T23:38:25Z,,13938,1,1,JavaScript,True,True,True,True,False,False,1,,False,False,20,True,False,False,"['react-components', 'visualization']",public,1,20,1,master,ornl-sava,4691087,MDEyOk9yZ2FuaXphdGlvbjQ2OTEwODc=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
