id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
19751446,MDEwOlJlcG9zaXRvcnkxOTc1MTQ0Ng==,ornlcda.github.io,ornlcda/ornlcda.github.io,False,https://github.com/ornlcda/ornlcda.github.io,ORNL Computational Data Analytics Group,False,https://api.github.com/repos/ornlcda/ornlcda.github.io,2014-05-13T18:49:00Z,2023-02-14T20:58:46Z,2014-05-13T18:56:42Z,http://cda.ornl.gov,152,3,3,,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,3,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
19751872,MDEwOlJlcG9zaXRvcnkxOTc1MTg3Mg==,RRCF2014,ornlcda/RRCF2014,False,https://github.com/ornlcda/RRCF2014,Rapid Response Cyber Forensics Workshop website,False,https://api.github.com/repos/ornlcda/RRCF2014,2014-05-13T19:00:23Z,2018-10-25T07:48:40Z,2014-08-25T20:37:53Z,http://ornlcda.github.io/RRCF2014,13112,1,1,,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
33624942,MDEwOlJlcG9zaXRvcnkzMzYyNDk0Mg==,MLHPC2015,ornlcda/MLHPC2015,False,https://github.com/ornlcda/MLHPC2015,MLHPC2015 Conference website,False,https://api.github.com/repos/ornlcda/MLHPC2015,2015-04-08T18:35:10Z,2018-10-25T07:48:26Z,2016-02-01T13:09:13Z,,36914,1,1,CSS,True,True,True,True,True,False,3,,False,False,0,,True,False,False,[],public,3,0,1,gh-pages,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
47715009,MDEwOlJlcG9zaXRvcnk0NzcxNTAwOQ==,neuromorphic2016,ornlcda/neuromorphic2016,False,https://github.com/ornlcda/neuromorphic2016,Neuromorphic Workshop 2016 Website,False,https://api.github.com/repos/ornlcda/neuromorphic2016,2015-12-09T19:49:58Z,2018-10-25T07:48:12Z,2016-09-13T16:46:13Z,,108184,1,1,CSS,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
55417538,MDEwOlJlcG9zaXRvcnk1NTQxNzUzOA==,MLHPC2016,ornlcda/MLHPC2016,False,https://github.com/ornlcda/MLHPC2016,,False,https://api.github.com/repos/ornlcda/MLHPC2016,2016-04-04T14:23:34Z,2018-10-25T07:47:57Z,2016-11-14T22:01:38Z,,63978,1,1,CSS,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,1,gh-pages,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
65577386,MDEwOlJlcG9zaXRvcnk2NTU3NzM4Ng==,SWM2017,ornlcda/SWM2017,False,https://github.com/ornlcda/SWM2017,,False,https://api.github.com/repos/ornlcda/SWM2017,2016-08-12T19:07:11Z,2018-10-25T07:47:40Z,2017-03-01T16:20:35Z,,65830,1,1,HTML,True,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,1,gh-pages,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
73923433,MDEwOlJlcG9zaXRvcnk3MzkyMzQzMw==,neuromorphic2017,ornlcda/neuromorphic2017,False,https://github.com/ornlcda/neuromorphic2017,Neuromorphic Computing Workshop 2017 Website,False,https://api.github.com/repos/ornlcda/neuromorphic2017,2016-11-16T13:37:06Z,2023-12-27T11:26:09Z,2017-07-24T15:30:48Z,,142062,4,4,HTML,True,True,True,True,True,False,4,,False,False,0,,True,False,False,[],public,4,0,4,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
91468871,MDEwOlJlcG9zaXRvcnk5MTQ2ODg3MQ==,MLHPC2017,ornlcda/MLHPC2017,False,https://github.com/ornlcda/MLHPC2017,,False,https://api.github.com/repos/ornlcda/MLHPC2017,2017-05-16T14:36:46Z,2018-10-25T07:46:53Z,2017-11-21T13:53:40Z,,135552,1,1,CSS,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,1,gh-pages,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
100623827,MDEwOlJlcG9zaXRvcnkxMDA2MjM4Mjc=,niml,ornlcda/niml,False,https://github.com/ornlcda/niml,,False,https://api.github.com/repos/ornlcda/niml,2017-08-17T16:26:42Z,2017-08-17T16:26:42Z,2017-08-17T16:26:43Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
104365984,MDEwOlJlcG9zaXRvcnkxMDQzNjU5ODQ=,icons2018,ornlcda/icons2018,False,https://github.com/ornlcda/icons2018,International Conference on Neuromorphic Computing,False,https://api.github.com/repos/ornlcda/icons2018,2017-09-21T15:30:41Z,2023-02-14T20:57:12Z,2018-11-26T15:30:19Z,,138598,1,1,HTML,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ornlcda,7572830,MDEyOk9yZ2FuaXphdGlvbjc1NzI4MzA=,Organization,public,False,False,False,False,False,True
