id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
29993161,MDEwOlJlcG9zaXRvcnkyOTk5MzE2MQ==,hakeAssess,pacific-hake/hakeAssess,False,https://github.com/pacific-hake/hakeAssess,Assessment code for the hake/whiting assessment,False,https://api.github.com/repos/pacific-hake/hakeAssess,2015-01-28T23:11:17Z,2023-01-28T16:21:58Z,2019-12-16T20:08:28Z,,122,1,1,R,True,True,True,True,False,False,0,,True,False,1,,True,False,False,[],public,0,1,1,master,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
49088907,MDEwOlJlcG9zaXRvcnk0OTA4ODkwNw==,hake-assessment,pacific-hake/hake-assessment,False,https://github.com/pacific-hake/hake-assessment,:zap: :fish: Build the assessment document using latex and knitr,False,https://api.github.com/repos/pacific-hake/hake-assessment,2016-01-05T19:49:33Z,2024-12-19T17:42:50Z,2024-12-20T06:46:08Z,,84035,13,13,HTML,True,True,True,True,False,False,6,,False,False,32,,True,False,False,[],public,6,32,13,master,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
53687246,MDEwOlJlcG9zaXRvcnk1MzY4NzI0Ng==,hakeMSE,pacific-hake/hakeMSE,False,https://github.com/pacific-hake/hakeMSE,MSE code for Pacific Hake,False,https://api.github.com/repos/pacific-hake/hakeMSE,2016-03-11T18:13:11Z,2023-01-28T16:21:59Z,2019-12-16T20:08:55Z,,1,0,0,,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
232366659,MDEwOlJlcG9zaXRvcnkyMzIzNjY2NTk=,hakedataUSA,pacific-hake/hakedataUSA,False,https://github.com/pacific-hake/hakedataUSA,Code to extract and workup the US data for the Pacific hake assessment.,False,https://api.github.com/repos/pacific-hake/hakedataUSA,2020-01-07T16:26:25Z,2024-10-16T14:34:15Z,2024-11-13T15:31:57Z,http://pacific-hake.github.io/hakedataUSA,586,0,0,R,True,True,True,True,True,False,2,,False,False,23,,True,False,False,[],public,2,23,0,main,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
301815234,MDEwOlJlcG9zaXRvcnkzMDE4MTUyMzQ=,pacifichakemse,pacific-hake/pacifichakemse,False,https://github.com/pacific-hake/pacifichakemse,A Management Strategy Evaluation for Pacific Hake,False,https://api.github.com/repos/pacific-hake/pacifichakemse,2020-10-06T18:12:03Z,2024-06-08T07:23:30Z,2024-06-08T07:23:26Z,,1309675,3,3,R,True,True,True,True,False,False,2,,False,False,14,,True,False,False,[],public,2,14,3,master,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
313698645,MDEwOlJlcG9zaXRvcnkzMTM2OTg2NDU=,runhakemse,pacific-hake/runhakemse,False,https://github.com/pacific-hake/runhakemse,A project with scripts used to run functions in the pacifichakemse package,False,https://api.github.com/repos/pacific-hake/runhakemse,2020-11-17T17:49:43Z,2024-06-07T17:02:29Z,2024-06-07T17:02:25Z,,636,0,0,R,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
366157268,MDEwOlJlcG9zaXRvcnkzNjYxNTcyNjg=,recruitment-index,pacific-hake/recruitment-index,False,https://github.com/pacific-hake/recruitment-index,Estimating and fitting to indices of recruitment,False,https://api.github.com/repos/pacific-hake/recruitment-index,2021-05-10T19:42:13Z,2023-04-20T04:25:45Z,2023-04-20T04:25:41Z,,1923,0,0,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
438708522,R_kgDOGiYpKg,ss3roms,pacific-hake/ss3roms,False,https://github.com/pacific-hake/ss3roms,Modeling ROMS variables in Stock Synthesis 3,False,https://api.github.com/repos/pacific-hake/ss3roms,2021-12-15T17:02:57Z,2024-11-05T00:39:53Z,2024-11-05T00:39:49Z,,271718,0,0,Scheme,True,True,True,True,False,True,1,,False,False,6,,True,False,False,[],public,1,6,0,main,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
447635636,R_kgDOGq5gtA,hake-archivemodel,pacific-hake/hake-archivemodel,False,https://github.com/pacific-hake/hake-archivemodel,Code to archive the assessment model for Pacific Hake for the NWFSC,False,https://api.github.com/repos/pacific-hake/hake-archivemodel,2022-01-13T14:44:54Z,2022-01-13T14:47:22Z,2022-01-13T17:08:35Z,,1,0,0,,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,main,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
500450298,R_kgDOHdRD-g,hakemse-doc,pacific-hake/hakemse-doc,False,https://github.com/pacific-hake/hakemse-doc,Documentation for the Pacific Hake MSE model,False,https://api.github.com/repos/pacific-hake/hakemse-doc,2022-06-06T13:45:00Z,2023-02-05T14:30:45Z,2023-02-05T14:30:42Z,,331,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,main,pacific-hake,10749054,MDEyOk9yZ2FuaXphdGlvbjEwNzQ5MDU0,Organization,public,False,False,False,False,False,True,,,,,
