id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
10255896,MDEwOlJlcG9zaXRvcnkxMDI1NTg5Ng==,medlink,peacecorps/medlink,False,https://github.com/peacecorps/medlink,A project to make it easier for Peace Corps Volunteers to order their medical supplies from a local Peace Corps Office. Volunteers can order by sms or webform. PC Staff interact with the orders in a simple to use dashboard. ,False,https://api.github.com/repos/peacecorps/medlink,2013-05-23T23:52:09Z,2024-09-12T12:23:37Z,2016-09-29T16:33:20Z,https://www.youtube.com/watch?v=uNkwizhzMVA,4435,39,39,Ruby,True,True,True,True,False,False,36,,False,False,31,True,False,False,[],public,36,31,39,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
10465070,MDEwOlJlcG9zaXRvcnkxMDQ2NTA3MA==,realtrack-android,peacecorps/realtrack-android,False,https://github.com/peacecorps/realtrack-android,Android solution to track Volunteer activities in the field,False,https://api.github.com/repos/peacecorps/realtrack-android,2013-06-03T21:25:09Z,2020-03-25T22:35:41Z,2016-02-26T13:38:08Z,,72484,7,7,Java,True,True,True,False,False,False,18,,False,False,5,True,False,False,[],public,18,5,7,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
11292958,MDEwOlJlcG9zaXRvcnkxMTI5Mjk1OA==,Peace-Corps-Publications,peacecorps/Peace-Corps-Publications,False,https://github.com/peacecorps/Peace-Corps-Publications,,True,https://api.github.com/repos/peacecorps/Peace-Corps-Publications,2013-07-09T20:14:43Z,2013-07-09T21:18:22Z,2013-07-08T18:20:58Z,,6763,0,0,JavaScript,False,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,0,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
11461352,MDEwOlJlcG9zaXRvcnkxMTQ2MTM1Mg==,peacecorpswws,peacecorps/peacecorpswws,False,https://github.com/peacecorps/peacecorpswws,Random Hacks of Kindness - Boston,True,https://api.github.com/repos/peacecorps/peacecorpswws,2013-07-16T21:59:48Z,2013-09-04T18:43:09Z,2013-07-04T17:33:23Z,,17864,0,0,JavaScript,False,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,0,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
11852084,MDEwOlJlcG9zaXRvcnkxMTg1MjA4NA==,PCVA,peacecorps/PCVA,False,https://github.com/peacecorps/PCVA,Peace Corps OVA Portal,True,https://api.github.com/repos/peacecorps/PCVA,2013-08-02T20:29:30Z,2014-12-21T01:13:38Z,2014-12-21T01:13:38Z,,1121,0,0,JavaScript,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
12599131,MDEwOlJlcG9zaXRvcnkxMjU5OTEzMQ==,PeaceCorpsApp,peacecorps/PeaceCorpsApp,False,https://github.com/peacecorps/PeaceCorpsApp,Peace Corps Pocket Guide,True,https://api.github.com/repos/peacecorps/PeaceCorpsApp,2013-09-04T18:43:32Z,2014-11-07T05:16:14Z,2013-10-17T21:20:23Z,,3795,1,1,JavaScript,False,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,1,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
13415086,MDEwOlJlcG9zaXRvcnkxMzQxNTA4Ng==,realtrack-ios,peacecorps/realtrack-ios,False,https://github.com/peacecorps/realtrack-ios,Mobile data tracking notebook for Peace Corps Volunteers in the field to record hard to remember details of activities that they will be required to report on later. ,False,https://api.github.com/repos/peacecorps/realtrack-ios,2013-10-08T14:04:08Z,2024-03-12T12:37:50Z,2013-10-08T15:44:29Z,,112,3,3,,True,True,True,True,False,False,6,,False,False,1,True,False,False,[],public,6,1,3,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
15708912,MDEwOlJlcG9zaXRvcnkxNTcwODkxMg==,old_crowdmap,peacecorps/old_crowdmap,False,https://github.com/peacecorps/old_crowdmap,A customization of the Ushahidi Platform for Peace Corps Volunteers serving in Azerbaijan,False,https://api.github.com/repos/peacecorps/old_crowdmap,2014-01-07T15:53:50Z,2014-07-02T15:02:03Z,2018-04-25T16:09:10Z,,10578,1,1,JavaScript,True,True,True,True,False,False,7,,False,False,15,True,False,False,[],public,7,15,1,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
16877516,MDEwOlJlcG9zaXRvcnkxNjg3NzUxNg==,Opportunity-Portal,peacecorps/Opportunity-Portal,False,https://github.com/peacecorps/Opportunity-Portal,"CLOSED - Giving potential applicants a view into the Volunteer opportunities available, along with additional data to make an informed decision to join Peace Corps.",False,https://api.github.com/repos/peacecorps/Opportunity-Portal,2014-02-16T03:32:06Z,2024-03-12T12:38:08Z,2014-07-17T07:28:17Z,,25559,9,9,CSS,True,True,True,True,True,False,6,,False,False,19,True,False,False,[],public,6,19,9,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
17758207,MDEwOlJlcG9zaXRvcnkxNzc1ODIwNw==,malaria-app-readme,peacecorps/malaria-app-readme,False,https://github.com/peacecorps/malaria-app-readme,"Creating a mobile tool for Malaria prevention, information, and medicine tracking for Peace Corps Volunteers",False,https://api.github.com/repos/peacecorps/malaria-app-readme,2014-03-14T19:50:06Z,2018-01-14T10:18:26Z,2015-05-08T14:25:55Z,,61190,2,2,HTML,True,True,True,True,False,False,12,,False,False,1,True,False,False,[],public,12,1,2,master,peacecorps,4389885,MDEyOk9yZ2FuaXphdGlvbjQzODk4ODU=,Organization,public,False,,,,,,False,False,False,False,True,
