id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
24517258,MDEwOlJlcG9zaXRvcnkyNDUxNzI1OA==,cyPhyTown,pnnl/cyPhyTown,False,https://github.com/pnnl/cyPhyTown,Cyber Physical Town,False,https://api.github.com/repos/pnnl/cyPhyTown,2014-09-26T22:25:43Z,2023-10-10T23:29:03Z,2014-12-03T23:57:19Z,,140,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
31670726,MDEwOlJlcG9zaXRvcnkzMTY3MDcyNg==,training,pnnl/training,False,https://github.com/pnnl/training,,False,https://api.github.com/repos/pnnl/training,2015-03-04T17:43:42Z,2021-07-29T02:51:46Z,2015-03-04T19:52:01Z,,3751,2,2,Visual Basic,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,2,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,,,,,,False,False,False,False,True,
32043147,MDEwOlJlcG9zaXRvcnkzMjA0MzE0Nw==,Smisc,pnnl/Smisc,False,https://github.com/pnnl/Smisc, Sego Miscellaneous: A collection of functions for statistical computing and data manipulation in R,False,https://api.github.com/repos/pnnl/Smisc,2015-03-11T21:52:12Z,2023-03-09T05:24:04Z,2020-10-12T22:03:47Z,,651,2,2,R,True,True,True,True,True,False,3,,False,False,1,True,False,False,[],public,3,1,2,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34292768,MDEwOlJlcG9zaXRvcnkzNDI5Mjc2OA==,qFeature,pnnl/qFeature,False,https://github.com/pnnl/qFeature,Extract features from time series using moving windows of regression fits,False,https://api.github.com/repos/pnnl/qFeature,2015-04-20T23:44:23Z,2018-11-21T22:13:29Z,2015-11-04T18:15:43Z,,1642,6,6,HTML,True,True,True,True,True,False,6,,False,False,0,True,False,False,[],public,6,0,6,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34472935,MDEwOlJlcG9zaXRvcnkzNDQ3MjkzNQ==,ReteBiome,pnnl/ReteBiome,False,https://github.com/pnnl/ReteBiome,ReteBiome,False,https://api.github.com/repos/pnnl/ReteBiome,2015-04-23T18:04:28Z,2016-04-28T21:51:00Z,2016-04-28T21:50:59Z,,18,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34747938,MDEwOlJlcG9zaXRvcnkzNDc0NzkzOA==,aim-science-of-interaction,pnnl/aim-science-of-interaction,False,https://github.com/pnnl/aim-science-of-interaction,AIM Streaming Canvas - an interactive text visualization tool for studying user interaction,False,https://api.github.com/repos/pnnl/aim-science-of-interaction,2015-04-28T18:18:32Z,2015-08-04T04:26:07Z,2015-08-04T04:27:53Z,http://aim.pnnl.gov,18828,0,0,JavaScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34747951,MDEwOlJlcG9zaXRvcnkzNDc0Nzk1MQ==,jac-lite-clustering,pnnl/jac-lite-clustering,False,https://github.com/pnnl/jac-lite-clustering,,False,https://api.github.com/repos/pnnl/jac-lite-clustering,2015-04-28T18:18:58Z,2019-07-19T08:40:13Z,2018-01-08T16:22:36Z,,320,1,1,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
38382728,MDEwOlJlcG9zaXRvcnkzODM4MjcyOA==,lift,pnnl/lift,False,https://github.com/pnnl/lift,,False,https://api.github.com/repos/pnnl/lift,2015-07-01T16:39:56Z,2015-07-01T16:39:56Z,2015-07-01T16:39:57Z,,120,0,0,,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,,,,,,False,False,False,False,True,
39089108,MDEwOlJlcG9zaXRvcnkzOTA4OTEwOA==,svf,pnnl/svf,False,https://github.com/pnnl/svf,Sci-Vis Framework,False,https://api.github.com/repos/pnnl/svf,2015-07-14T17:11:27Z,2021-06-03T21:41:53Z,2021-06-03T21:42:26Z,,1346,1,1,Java,True,True,True,True,False,False,3,,False,False,3,True,False,False,[],public,3,3,1,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
51790257,MDEwOlJlcG9zaXRvcnk1MTc5MDI1Nw==,glmnetLRC,pnnl/glmnetLRC,False,https://github.com/pnnl/glmnetLRC,Lasso and Elastic-Net Logistic Regression Classification with an Arbitrary Loss Function,False,https://api.github.com/repos/pnnl/glmnetLRC,2016-02-15T22:26:56Z,2017-12-07T14:59:53Z,2016-07-01T17:43:32Z,,3704,3,3,R,True,True,True,True,True,False,5,,False,False,1,True,False,False,[],public,5,1,3,master,pnnl,10872965,MDEyOk9yZ2FuaXphdGlvbjEwODcyOTY1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
