id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
5416225,MDEwOlJlcG9zaXRvcnk1NDE2MjI1,csv-to-api,project-open-data/csv-to-api,False,https://github.com/project-open-data/csv-to-api,Proof of concept to dynamically generate RESTful APIs from static CSVs,False,https://api.github.com/repos/project-open-data/csv-to-api,2012-08-14T17:39:30Z,2024-12-19T15:20:35Z,2017-04-21T18:52:24Z,http://labs.data.gov/csv-to-api/,35,327,327,PHP,True,True,True,False,False,False,81,,True,False,12,,True,False,False,[],public,81,12,327,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
5708479,MDEwOlJlcG9zaXRvcnk1NzA4NDc5,db-to-api,project-open-data/db-to-api,False,https://github.com/project-open-data/db-to-api,"Turns a Database into a Secure, RESTful API",False,https://api.github.com/repos/project-open-data/db-to-api,2012-09-06T21:01:37Z,2024-11-12T14:39:31Z,2020-09-09T20:48:04Z,,299,448,448,PHP,True,True,True,False,False,False,150,,True,False,12,,True,False,False,[],public,150,12,448,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
5847084,MDEwOlJlcG9zaXRvcnk1ODQ3MDg0,kickstart,project-open-data/kickstart,False,https://github.com/project-open-data/kickstart,A WordPress plugin to help agencies kickstart their open data efforts by allowing citizens to browse existing datasets and vote for suggested priorities. ,False,https://api.github.com/repos/project-open-data/kickstart,2012-09-17T20:44:04Z,2023-01-28T17:19:51Z,2013-11-23T23:28:08Z,,108,19,19,PHP,True,True,True,False,False,False,15,,True,False,2,,True,False,False,[],public,15,2,19,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
5939899,MDEwOlJlcG9zaXRvcnk1OTM5ODk5,swagger-core,project-open-data/swagger-core,False,https://github.com/project-open-data/swagger-core,swagger-core defines annotations and required logic to generate a Swagger server or client.,True,https://api.github.com/repos/project-open-data/swagger-core,2012-09-24T19:46:55Z,2023-01-28T17:19:51Z,2012-09-22T16:39:06Z,http://swagger.wordnik.com,1333,1,1,Scala,False,True,True,False,False,False,6,,True,False,0,,True,False,False,[],public,6,0,1,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
5940252,MDEwOlJlcG9zaXRvcnk1OTQwMjUy,slash_developer,project-open-data/slash_developer,False,https://github.com/project-open-data/slash_developer,,False,https://api.github.com/repos/project-open-data/slash_developer,2012-09-24T20:11:39Z,2023-01-28T17:19:51Z,2012-11-18T13:31:35Z,,236,3,3,PHP,True,True,True,False,False,False,7,,True,False,6,,True,False,False,[],public,7,6,3,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
6285817,MDEwOlJlcG9zaXRvcnk2Mjg1ODE3,jekyll-template,project-open-data/jekyll-template,False,https://github.com/project-open-data/jekyll-template,A collaborative template for publishing resources on GitHub,True,https://api.github.com/repos/project-open-data/jekyll-template,2012-10-18T21:39:11Z,2023-01-28T17:19:51Z,2012-12-08T19:49:02Z,,1110,6,6,JavaScript,False,True,True,False,True,False,8,,True,False,0,,True,False,False,[],public,8,0,6,gh-pages,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
6300060,MDEwOlJlcG9zaXRvcnk2MzAwMDYw,pdf-filler,project-open-data/pdf-filler,False,https://github.com/project-open-data/pdf-filler,PDF Filler is a RESTful service (API) to aid in the completion of existing PDF-based forms and empowers web developers to use browser-based forms and modern web standards to facilitate the collection of information.  ,True,https://api.github.com/repos/project-open-data/pdf-filler,2012-10-19T18:58:00Z,2024-06-03T22:35:55Z,2013-11-04T16:17:38Z,http://labs.data.gov/pdf-filler/,1739,36,36,JavaScript,False,True,True,False,False,False,8,,True,False,0,,True,False,False,[],public,8,0,36,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
6357402,MDEwOlJlcG9zaXRvcnk2MzU3NDAy,api-umbrella,project-open-data/api-umbrella,False,https://github.com/project-open-data/api-umbrella,a platform for exposing web service APIs. The basic goal of API Umbrella is to make life easier for both API creators and API consumers.,True,https://api.github.com/repos/project-open-data/api-umbrella,2012-10-23T18:13:01Z,2023-01-28T17:19:51Z,2012-09-17T01:57:15Z,,90,9,9,Ruby,False,True,True,False,False,False,9,,True,False,0,,True,False,False,[],public,9,0,9,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
6358123,MDEwOlJlcG9zaXRvcnk2MzU4MTIz,iodocs,project-open-data/iodocs,False,https://github.com/project-open-data/iodocs,Interactive API documentation system,True,https://api.github.com/repos/project-open-data/iodocs,2012-10-23T19:03:21Z,2023-01-28T17:19:51Z,2012-09-20T16:14:54Z,,148,11,11,JavaScript,False,True,True,False,False,False,8,,True,False,0,,True,False,False,[],public,8,0,11,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
6398291,MDEwOlJlcG9zaXRvcnk2Mzk4Mjkx,SpatialSearch,project-open-data/SpatialSearch,False,https://github.com/project-open-data/SpatialSearch,,True,https://api.github.com/repos/project-open-data/SpatialSearch,2012-10-26T03:36:45Z,2024-10-30T10:49:28Z,2013-05-20T14:30:28Z,,277,17,17,Java,False,True,True,False,False,False,11,,True,False,0,,True,False,False,[],public,11,0,17,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
6664043,MDEwOlJlcG9zaXRvcnk2NjY0MDQz,json-validator,project-open-data/json-validator,False,https://github.com/project-open-data/json-validator,Validates JSON files,False,https://api.github.com/repos/project-open-data/json-validator,2012-11-13T02:03:50Z,2023-01-28T17:19:51Z,2013-11-21T20:36:26Z,http://project-open-data.github.com/json-validator/,252,18,18,CSS,True,True,True,False,True,False,14,,True,False,4,,True,False,False,[],public,14,4,18,gh-pages,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
6912190,MDEwOlJlcG9zaXRvcnk2OTEyMTkw,catalog-generator,project-open-data/catalog-generator,False,https://github.com/project-open-data/catalog-generator,A multi-format tool to generate and maintain agency.gov/data catalog files.,False,https://api.github.com/repos/project-open-data/catalog-generator,2012-11-28T23:49:01Z,2023-01-28T17:03:06Z,2019-10-01T21:03:43Z,http://project-open-data.github.com/catalog-generator/,798,21,21,CoffeeScript,True,True,True,False,True,False,18,,True,False,6,,True,False,False,[],public,18,6,21,gh-pages,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
7070195,MDEwOlJlcG9zaXRvcnk3MDcwMTk1,contribute,project-open-data/contribute,False,https://github.com/project-open-data/contribute,Fork of the the Prose content editor for GitHub.,True,https://api.github.com/repos/project-open-data/contribute,2012-12-08T17:48:03Z,2023-01-28T17:19:51Z,2013-05-09T13:28:40Z,http://project-open-data.github.com/prose,8679,2,2,JavaScript,False,True,True,False,True,False,5,,True,False,0,,True,False,False,[],public,5,0,2,gh-pages,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
7096151,MDEwOlJlcG9zaXRvcnk3MDk2MTUx,RESTdb,project-open-data/RESTdb,False,https://github.com/project-open-data/RESTdb,Generic RESTful Interface for databases ,True,https://api.github.com/repos/project-open-data/RESTdb,2012-12-10T16:01:25Z,2023-01-28T17:19:51Z,2012-12-10T15:44:50Z,,2282,8,8,PHP,False,True,True,False,False,False,8,,True,False,0,,True,False,False,[],public,8,0,8,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
8718832,MDEwOlJlcG9zaXRvcnk4NzE4ODMy,esri2open,project-open-data/esri2open,False,https://github.com/project-open-data/esri2open,"this repo is an ESRI toolbox and tool(s) that export ESRI Feature Classes to open data formats, CSV, JSON, and GeoJSON",False,https://api.github.com/repos/project-open-data/esri2open,2013-03-12T03:11:28Z,2024-12-08T11:23:33Z,2015-12-21T13:24:38Z,,306,257,257,Python,True,True,True,False,False,False,62,,True,False,10,,True,False,False,[],public,62,10,257,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
9133739,MDEwOlJlcG9zaXRvcnk5MTMzNzM5,G8_Metadata_Mapping,project-open-data/G8_Metadata_Mapping,False,https://github.com/project-open-data/G8_Metadata_Mapping,G8 Metadata Mapping,False,https://api.github.com/repos/project-open-data/G8_Metadata_Mapping,2013-03-31T18:01:51Z,2024-06-03T22:36:06Z,2013-06-18T12:22:04Z,,367,24,24,,True,True,True,False,False,False,21,,True,False,1,,True,False,False,[],public,21,1,24,master,project-open-data,2349100,MDEyOk9yZ2FuaXphdGlvbjIzNDkxMDA=,Organization,public,False,False,False,False,False,True,,,,,
