id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
186660146,MDEwOlJlcG9zaXRvcnkxODY2NjAxNDY=,Rcplex2,ruppinlab/Rcplex2,False,https://github.com/ruppinlab/Rcplex2,Adding minor functions to the CRAN Rcplex package,True,https://api.github.com/repos/ruppinlab/Rcplex2,2019-05-14T16:26:33Z,2022-09-16T17:35:12Z,2021-11-22T12:29:39Z,,146,1,1,Shell,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
209635814,MDEwOlJlcG9zaXRvcnkyMDk2MzU4MTQ=,run-kallisto-SRA,ruppinlab/run-kallisto-SRA,False,https://github.com/ruppinlab/run-kallisto-SRA,,False,https://api.github.com/repos/ruppinlab/run-kallisto-SRA,2019-09-19T19:43:35Z,2020-08-27T05:16:34Z,2019-09-30T15:59:24Z,,14,1,1,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
218400923,MDEwOlJlcG9zaXRvcnkyMTg0MDA5MjM=,crispr_risk,ruppinlab/crispr_risk,False,https://github.com/ruppinlab/crispr_risk,Our study systematically charts and points to the potential selection of specific cancer drivers mutation during CRISPR-Cas9 gene editing.,False,https://api.github.com/repos/ruppinlab/crispr_risk,2019-10-29T23:13:31Z,2022-07-19T14:59:19Z,2021-09-06T21:16:17Z,,140872,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
221153711,MDEwOlJlcG9zaXRvcnkyMjExNTM3MTE=,SingleCellSimulate,ruppinlab/SingleCellSimulate,False,https://github.com/ruppinlab/SingleCellSimulate,The following repository contains the R code to simulate 4 single cell RNASeq datasets that were used to test the performance of deconvolution,False,https://api.github.com/repos/ruppinlab/SingleCellSimulate,2019-11-12T07:13:14Z,2022-05-02T05:02:11Z,2020-03-20T04:42:08Z,,574,2,2,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
223205994,MDEwOlJlcG9zaXRvcnkyMjMyMDU5OTQ=,aml-2019,ruppinlab/aml-2019,False,https://github.com/ruppinlab/aml-2019,Reproducible analysis in collaboration with Ani Deshpande Lab,False,https://api.github.com/repos/ruppinlab/aml-2019,2019-11-21T15:33:17Z,2021-11-15T19:28:09Z,2021-11-15T19:08:41Z,,47,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
232426177,MDEwOlJlcG9zaXRvcnkyMzI0MjYxNzc=,gembox,ruppinlab/gembox,False,https://github.com/ruppinlab/gembox,In-house toolbox for genome-scale metabolic modeling (GEM) for the Ruppin lab,False,https://api.github.com/repos/ruppinlab/gembox,2020-01-07T22:05:33Z,2023-06-29T01:56:29Z,2022-03-02T01:54:29Z,,9276,0,0,R,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,0,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
236758352,MDEwOlJlcG9zaXRvcnkyMzY3NTgzNTI=,madhitter,ruppinlab/madhitter,False,https://github.com/ruppinlab/madhitter,,False,https://api.github.com/repos/ruppinlab/madhitter,2020-01-28T14:46:30Z,2022-06-28T06:41:22Z,2023-01-09T23:03:35Z,,2289,9,9,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,9,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
240350597,MDEwOlJlcG9zaXRvcnkyNDAzNTA1OTc=,RNA-snakemake-rules,ruppinlab/RNA-snakemake-rules,False,https://github.com/ruppinlab/RNA-snakemake-rules,Snakemake rules written for RNA-seq,False,https://api.github.com/repos/ruppinlab/RNA-snakemake-rules,2020-02-13T20:06:59Z,2023-11-27T10:49:23Z,2023-11-27T10:49:19Z,,56,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
240352371,MDEwOlJlcG9zaXRvcnkyNDAzNTIzNzE=,pathogen-discovery-rules,ruppinlab/pathogen-discovery-rules,False,https://github.com/ruppinlab/pathogen-discovery-rules,,False,https://api.github.com/repos/ruppinlab/pathogen-discovery-rules,2020-02-13T20:16:47Z,2024-12-17T13:37:44Z,2024-12-17T13:37:40Z,,131,2,2,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,,,,,
243539016,MDEwOlJlcG9zaXRvcnkyNDM1MzkwMTY=,CSI-Microbes-identification,ruppinlab/CSI-Microbes-identification,False,https://github.com/ruppinlab/CSI-Microbes-identification,Code for the identification step for CSI-Microbes,False,https://api.github.com/repos/ruppinlab/CSI-Microbes-identification,2020-02-27T14:25:21Z,2024-11-25T13:20:47Z,2024-11-25T13:20:48Z,,101835,27,27,Python,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,27,master,ruppinlab,31109662,MDEyOk9yZ2FuaXphdGlvbjMxMTA5NjYy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
