id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
34742432,MDEwOlJlcG9zaXRvcnkzNDc0MjQzMg==,coresoftware,sPHENIX-Collaboration/coresoftware,False,https://github.com/sPHENIX-Collaboration/coresoftware,Our big core software repository,False,https://api.github.com/repos/sPHENIX-Collaboration/coresoftware,2015-04-28T16:29:55Z,2024-12-19T02:39:57Z,2024-12-19T02:39:52Z,https://wiki.bnl.gov/sPHENIX/index.php/Main_Page,100440,27,27,C++,True,True,True,True,False,False,199,,False,False,10,,True,False,False,"['core', 'daily-build']",public,199,10,27,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
34748767,MDEwOlJlcG9zaXRvcnkzNDc0ODc2Nw==,utilities,sPHENIX-Collaboration/utilities,False,https://github.com/sPHENIX-Collaboration/utilities,the sPHENIX bag of utilities,False,https://api.github.com/repos/sPHENIX-Collaboration/utilities,2015-04-28T18:35:44Z,2024-12-18T18:35:04Z,2024-12-18T18:34:59Z,,1946,2,2,Perl,True,True,True,True,False,False,16,,False,False,0,,True,False,False,"['core', 'daily-build']",public,16,0,2,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
34804144,MDEwOlJlcG9zaXRvcnkzNDgwNDE0NA==,macros,sPHENIX-Collaboration/macros,False,https://github.com/sPHENIX-Collaboration/macros,Official macros to run sPHENIX coresoftware. Welcome to fork and to edit for your own studies.,False,https://api.github.com/repos/sPHENIX-Collaboration/macros,2015-04-29T16:11:47Z,2024-12-17T16:51:11Z,2024-12-17T16:51:06Z,https://wiki.bnl.gov/sPHENIX/index.php/Software,20600,11,11,Jupyter Notebook,True,True,True,True,False,False,139,,False,False,6,,True,False,False,"['core', 'tutorial']",public,139,6,11,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
35397516,MDEwOlJlcG9zaXRvcnkzNTM5NzUxNg==,tutorials,sPHENIX-Collaboration/tutorials,False,https://github.com/sPHENIX-Collaboration/tutorials,Our tutorials,False,https://api.github.com/repos/sPHENIX-Collaboration/tutorials,2015-05-11T02:23:52Z,2024-12-12T20:50:03Z,2024-12-12T20:49:58Z,,1211,10,10,Jupyter Notebook,True,True,True,True,False,False,36,,False,False,0,,True,False,False,['tutorial'],public,36,0,10,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
36741728,MDEwOlJlcG9zaXRvcnkzNjc0MTcyOA==,calibrations,sPHENIX-Collaboration/calibrations,False,https://github.com/sPHENIX-Collaboration/calibrations,Calibration files and macros producing them. Automatically installed to RCF $CALIBRATIONROOT/ during each nightly build,False,https://api.github.com/repos/sPHENIX-Collaboration/calibrations,2015-06-02T15:14:11Z,2024-10-25T22:10:47Z,2024-10-25T22:10:42Z,https://wiki.bnl.gov/sPHENIX/index.php/Software,89213,0,0,Jupyter Notebook,True,True,True,True,False,False,50,,False,False,1,,True,False,False,"['core', 'daily-build']",public,50,1,0,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
37741543,MDEwOlJlcG9zaXRvcnkzNzc0MTU0Mw==,analysis,sPHENIX-Collaboration/analysis,False,https://github.com/sPHENIX-Collaboration/analysis,Analysis repository hosting user modules that analyze the sPHENIX simulation and data,False,https://api.github.com/repos/sPHENIX-Collaboration/analysis,2015-06-19T19:25:00Z,2024-12-18T20:07:27Z,2024-12-18T20:07:23Z,https://wiki.bnl.gov/sPHENIX/index.php/Example_of_using_DST_nodes,305377,4,4,C,True,True,True,True,False,False,90,,False,False,2,,True,False,False,['analysis'],public,90,2,4,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
54594801,MDEwOlJlcG9zaXRvcnk1NDU5NDgwMQ==,rcdaq,sPHENIX-Collaboration/rcdaq,False,https://github.com/sPHENIX-Collaboration/rcdaq,This is the DAQ repository for the time being. It will host rcdaq and the plugins,False,https://api.github.com/repos/sPHENIX-Collaboration/rcdaq,2016-03-23T21:37:47Z,2024-08-19T22:46:47Z,2024-09-11T17:10:10Z,,2875,7,7,C++,True,True,True,True,False,False,14,,False,False,2,,True,False,False,['daq'],public,14,2,7,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
56086758,MDEwOlJlcG9zaXRvcnk1NjA4Njc1OA==,GenFit,sPHENIX-Collaboration/GenFit,False,https://github.com/sPHENIX-Collaboration/GenFit,A generic track-fitting toolkit,True,https://api.github.com/repos/sPHENIX-Collaboration/GenFit,2016-04-12T18:11:27Z,2022-01-26T21:04:24Z,2022-01-26T21:04:19Z,,16934,0,0,C++,False,True,True,True,False,False,2,,False,False,0,,True,False,False,['external-package'],public,2,0,0,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy
73865019,MDEwOlJlcG9zaXRvcnk3Mzg2NTAxOQ==,drs4,sPHENIX-Collaboration/drs4,False,https://github.com/sPHENIX-Collaboration/drs4,The rcdaq plugin that deals with the DRS4 evaluation board,False,https://api.github.com/repos/sPHENIX-Collaboration/drs4,2016-11-15T23:36:22Z,2022-10-14T13:03:57Z,2024-08-09T14:58:18Z,,189,1,1,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,['daq'],public,1,0,1,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
73865654,MDEwOlJlcG9zaXRvcnk3Mzg2NTY1NA==,CAEN_VME,sPHENIX-Collaboration/CAEN_VME,False,https://github.com/sPHENIX-Collaboration/CAEN_VME,This is the rcdaq plugin for devices that use the CAEN V1718 VME-USB bridge.,False,https://api.github.com/repos/sPHENIX-Collaboration/CAEN_VME,2016-11-15T23:48:51Z,2022-10-14T13:02:14Z,2016-11-15T23:49:29Z,,11,2,2,C++,True,True,True,True,False,False,0,,False,False,0,,True,False,False,['daq'],public,0,0,2,master,sPHENIX-Collaboration,12069843,MDEyOk9yZ2FuaXphdGlvbjEyMDY5ODQz,Organization,public,False,False,False,False,False,True,,,,,
