id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
8275805,MDEwOlJlcG9zaXRvcnk4Mjc1ODA1,nSIGHTS,sandialabs/nSIGHTS,False,https://github.com/sandialabs/nSIGHTS,"Open-source version of nSIGHTS, the MS-Windows n-dimensional Statistical Inverse Graphical Hydraulic Test Simulator",False,https://api.github.com/repos/sandialabs/nSIGHTS,2013-02-18T19:47:39Z,2024-02-15T17:20:56Z,2016-02-29T17:59:56Z,,139323,2,2,C++,True,True,True,True,False,False,2,,False,False,0,,True,False,False,['scr-681'],public,2,0,2,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,,,,,
11371048,MDEwOlJlcG9zaXRvcnkxMTM3MTA0OA==,slycat,sandialabs/slycat,False,https://github.com/sandialabs/slycat,A web-based analysis and visualization platform for HPC ensembles and high dimensional data sets.,False,https://api.github.com/repos/sandialabs/slycat,2013-07-12T14:50:39Z,2024-12-18T16:29:40Z,2024-12-18T16:29:35Z,http://slycat.readthedocs.org,376728,75,75,JavaScript,True,True,True,True,False,False,20,,False,False,101,,True,False,False,['scr-1593'],public,20,101,75,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
11642695,MDEwOlJlcG9zaXRvcnkxMTY0MjY5NQ==,Chordly,sandialabs/Chordly,False,https://github.com/sandialabs/Chordly,Chordly is a javascript library that may be used to detect and act upon key sequences entered by a user.,False,https://api.github.com/repos/sandialabs/Chordly,2013-07-24T18:57:59Z,2024-05-05T00:50:49Z,2021-05-20T20:33:15Z,,199,17,17,JavaScript,True,True,True,True,True,False,4,,False,False,5,,True,False,False,"['chord', 'chordly', 'event', 'events', 'hacktoberfest', 'hot-keys', 'hotkeys', 'javascript', 'keyboard', 'keyboard-events', 'keyboard-listeners', 'keyboard-navigation', 'keyboard-shortcuts', 'keydown', 'keypress', 'keyup', 'konami', 'mousehate', 'scr-2414', 'snl-other']",public,4,5,17,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
12959171,MDEwOlJlcG9zaXRvcnkxMjk1OTE3MQ==,grandmaster,sandialabs/grandmaster,False,https://github.com/sandialabs/grandmaster,,False,https://api.github.com/repos/sandialabs/grandmaster,2013-09-19T20:54:15Z,2024-02-15T19:09:29Z,2014-02-27T17:13:51Z,,10192,3,3,JavaScript,True,True,True,True,False,False,0,,True,False,2,,True,False,False,['scr-1596'],public,0,2,3,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
14935707,MDEwOlJlcG9zaXRvcnkxNDkzNTcwNw==,CACTUS,sandialabs/CACTUS,False,https://github.com/sandialabs/CACTUS,"CACTUS (Code for Axial and Cross-flow TUrbine Simulation) is a turbine performance simulation code, based on a free wake vortex method, to study wind turbines and marine hydrokinetic (MHK) devices. ",False,https://api.github.com/repos/sandialabs/CACTUS,2013-12-04T20:59:48Z,2024-12-10T15:10:00Z,2021-07-19T11:58:40Z,,13741,21,21,Fortran,True,False,True,False,False,True,13,,False,False,18,,True,False,False,['scr-1551'],public,13,18,21,dev,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
17750203,MDEwOlJlcG9zaXRvcnkxNzc1MDIwMw==,affect,sandialabs/affect,False,https://github.com/sandialabs/affect,Read/write and post-process results of the finite element method in Python and C++.,False,https://api.github.com/repos/sandialabs/affect,2014-03-14T15:11:51Z,2024-10-31T11:36:28Z,2018-12-18T16:13:30Z,,8670,1,1,JavaScript,True,True,True,True,True,False,0,,False,False,0,,True,False,False,"['scr-2244', 'snl-data-analysis', 'snl-science-libs']",public,0,0,1,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
17928207,MDEwOlJlcG9zaXRvcnkxNzkyODIwNw==,Albany,sandialabs/Albany,False,https://github.com/sandialabs/Albany,Sandia National Laboratories' Albany multiphysics code,False,https://api.github.com/repos/sandialabs/Albany,2014-03-20T02:32:15Z,2024-12-18T16:24:02Z,2024-12-18T16:23:58Z,,990809,283,283,C++,True,True,True,True,True,False,89,,False,False,64,,True,False,False,"['scr-1341', 'snl-applications', 'snl-science-libs']",public,89,64,283,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
18925814,MDEwOlJlcG9zaXRvcnkxODkyNTgxNA==,toyplot,sandialabs/toyplot,False,https://github.com/sandialabs/toyplot,Interactive plotting for Python.,False,https://api.github.com/repos/sandialabs/toyplot,2014-04-18T21:13:25Z,2024-12-06T12:39:47Z,2024-09-23T17:35:22Z,https://toyplot.readthedocs.io,62482,433,433,Jupyter Notebook,True,False,True,True,False,True,39,,False,False,16,,True,False,False,"['python', 'scr-1658', 'toyplot']",public,39,16,433,main,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
20700131,MDEwOlJlcG9zaXRvcnkyMDcwMDEzMQ==,d2t,sandialabs/d2t,False,https://github.com/sandialabs/d2t,Doubly Distributed Transactions,False,https://api.github.com/repos/sandialabs/d2t,2014-06-10T20:16:38Z,2024-02-15T19:16:25Z,2016-06-13T21:58:08Z,,1391,1,1,C,True,True,True,True,False,False,0,,False,False,0,,True,False,False,['scr-1675'],public,0,0,1,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
20751689,MDEwOlJlcG9zaXRvcnkyMDc1MTY4OQ==,cantrilbat,sandialabs/cantrilbat,False,https://github.com/sandialabs/cantrilbat,main repository for cantrilbat,False,https://api.github.com/repos/sandialabs/cantrilbat,2014-06-12T02:24:40Z,2024-11-04T07:12:04Z,2023-06-29T17:26:56Z,,934921,1,1,C++,True,True,True,True,False,False,0,,True,False,14,,True,False,False,"['scr-1344', 'scr-1606']",public,0,14,1,master,sandialabs,4993680,MDEyOk9yZ2FuaXphdGlvbjQ5OTM2ODA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
