id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
46074121,MDEwOlJlcG9zaXRvcnk0NjA3NDEyMQ==,sbst-gsa-auctions,sbstusa/sbst-gsa-auctions,False,https://github.com/sbstusa/sbst-gsa-auctions,,False,https://api.github.com/repos/sbstusa/sbst-gsa-auctions,2015-11-12T19:01:49Z,2016-01-05T18:47:32Z,2016-01-05T20:54:52Z,,7,0,0,,True,True,True,True,False,False,4,,False,False,1,,True,False,False,[],public,4,1,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
47433068,MDEwOlJlcG9zaXRvcnk0NzQzMzA2OA==,spilloverdesign,sbstusa/spilloverdesign,False,https://github.com/sbstusa/spilloverdesign,A repository with code to produce and evaluate experimental designs to estimate causal effects in the presence of spillovers.,False,https://api.github.com/repos/sbstusa/spilloverdesign,2015-12-04T23:00:10Z,2017-01-05T00:17:02Z,2017-01-05T00:28:53Z,http://sbstusa.github.io/spilloverdesign,2933,1,1,HTML,True,True,True,True,True,False,4,,False,False,1,,True,False,False,[],public,4,1,1,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
47641957,MDEwOlJlcG9zaXRvcnk0NzY0MTk1Nw==,poweranalysis,sbstusa/poweranalysis,False,https://github.com/sbstusa/poweranalysis,A repository containing some resources to make simulation based power analysis and pre-field study design easier.,False,https://api.github.com/repos/sbstusa/poweranalysis,2015-12-08T18:43:02Z,2016-03-19T16:41:50Z,2016-03-28T19:31:14Z,,14,1,1,,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
49080147,MDEwOlJlcG9zaXRvcnk0OTA4MDE0Nw==,templates,sbstusa/templates,False,https://github.com/sbstusa/templates,A repository with some ideas about how to make reanalysis quicker and easier.,False,https://api.github.com/repos/sbstusa/templates,2016-01-05T17:06:30Z,2017-08-18T15:28:40Z,2017-08-18T15:28:39Z,,85,0,0,TeX,True,True,True,True,False,False,5,,False,False,3,,True,False,False,[],public,5,3,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
51044643,MDEwOlJlcG9zaXRvcnk1MTA0NDY0Mw==,enewsletter,sbstusa/enewsletter,False,https://github.com/sbstusa/enewsletter,Increasing subscription to the Military OneSource eNewsletter. ,False,https://api.github.com/repos/sbstusa/enewsletter,2016-02-04T01:46:05Z,2017-01-28T04:17:25Z,2017-01-28T05:54:39Z,,1,0,0,,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
60860286,MDEwOlJlcG9zaXRvcnk2MDg2MDI4Ng==,guides,sbstusa/guides,False,https://github.com/sbstusa/guides,,False,https://api.github.com/repos/sbstusa/guides,2016-06-10T16:02:00Z,2017-01-28T05:55:24Z,2017-01-28T05:55:22Z,,308,1,1,HTML,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,1,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
62218393,MDEwOlJlcG9zaXRvcnk2MjIxODM5Mw==,mypay,sbstusa/mypay,False,https://github.com/sbstusa/mypay,Increase military retirees’ reactivation of their online military retirement finance management platform accounts,False,https://api.github.com/repos/sbstusa/mypay,2016-06-29T10:46:15Z,2016-09-28T15:38:16Z,2016-09-28T15:38:44Z,,369,0,0,HTML,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
62813530,MDEwOlJlcG9zaXRvcnk2MjgxMzUzMA==,oneblast,sbstusa/oneblast,False,https://github.com/sbstusa/oneblast,Analysis of the oneBlast eNewsletter experiment,False,https://api.github.com/repos/sbstusa/oneblast,2016-07-07T14:32:34Z,2017-01-27T20:39:27Z,2017-01-27T20:40:43Z,,2133,0,0,HTML,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
64513822,MDEwOlJlcG9zaXRvcnk2NDUxMzgyMg==,tsp,sbstusa/tsp,False,https://github.com/sbstusa/tsp,Increase enrollment and contribution rates in Thrift Savings Plans among interested active duty Servicemembers using behaviorally designed email communications.,False,https://api.github.com/repos/sbstusa/tsp,2016-07-29T22:27:21Z,2016-11-11T16:51:34Z,2016-09-28T15:39:20Z,,298,1,1,HTML,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
66885508,MDEwOlJlcG9zaXRvcnk2Njg4NTUwOA==,sba,sbstusa/sba,False,https://github.com/sbstusa/sba, A repository for the Small Business Administration (SBA) Learning Center enrollment forms analysis,False,https://api.github.com/repos/sbstusa/sba,2016-08-29T22:33:32Z,2017-01-27T20:33:06Z,2017-01-28T04:17:06Z,,2568,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,sbstusa,15111284,MDEyOk9yZ2FuaXphdGlvbjE1MTExMjg0,Organization,public,False,False,False,False,False,True
