id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
20899810,MDEwOlJlcG9zaXRvcnkyMDg5OTgxMA==,cubefit,snfactory/cubefit,False,https://github.com/snfactory/cubefit,Fit supernova + galaxy model on a SNFactory spectral data cube,False,https://api.github.com/repos/snfactory/cubefit,2014-06-16T20:35:42Z,2023-06-23T17:36:44Z,2019-06-27T16:44:58Z,,555,5,5,Python,True,True,True,True,False,False,5,,False,False,7,True,False,False,[],public,5,7,5,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
48236265,MDEwOlJlcG9zaXRvcnk0ODIzNjI2NQ==,pipeline,snfactory/pipeline,False,https://github.com/snfactory/pipeline,The next-generation SNFactory pipeline,False,https://api.github.com/repos/snfactory/pipeline,2015-12-18T13:15:36Z,2016-07-28T23:09:49Z,2016-12-08T22:57:25Z,,48,0,0,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
58772659,MDEwOlJlcG9zaXRvcnk1ODc3MjY1OQ==,ifuio,snfactory/ifuio,False,https://github.com/snfactory/ifuio,Legacy C library for IFU I/O,False,https://api.github.com/repos/snfactory/ifuio,2016-05-13T21:14:24Z,2016-05-13T21:15:38Z,2016-05-18T23:25:29Z,,134,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
59154459,MDEwOlJlcG9zaXRvcnk1OTE1NDQ1OQ==,preprocess,snfactory/preprocess,False,https://github.com/snfactory/preprocess,CCD-level processing for the Nearby Supernova Factory pipeline,False,https://api.github.com/repos/snfactory/preprocess,2016-05-18T22:02:19Z,2016-05-18T22:03:04Z,2016-05-18T23:26:30Z,,402,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
71301707,MDEwOlJlcG9zaXRvcnk3MTMwMTcwNw==,extract-star,snfactory/extract-star,False,https://github.com/snfactory/extract-star,Fit a 3-d PSF model to a point source in a SNFactory data cube,False,https://api.github.com/repos/snfactory/extract-star,2016-10-19T00:00:44Z,2017-12-14T12:26:17Z,2016-10-19T21:54:57Z,,838,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
98927443,MDEwOlJlcG9zaXRvcnk5ODkyNzQ0Mw==,scala,snfactory/scala,False,https://github.com/snfactory/scala,The software to control SCALA,False,https://api.github.com/repos/snfactory/scala,2017-07-31T20:34:43Z,2017-07-31T20:38:55Z,2017-07-31T20:41:47Z,,44,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
120046555,MDEwOlJlcG9zaXRvcnkxMjAwNDY1NTU=,binaryoffset,snfactory/binaryoffset,False,https://github.com/snfactory/binaryoffset,Detecting and Correcting the Binary Offset Effect in CCDs,False,https://api.github.com/repos/snfactory/binaryoffset,2018-02-03T00:42:21Z,2022-03-23T23:21:42Z,2018-02-24T01:37:37Z,,2191,6,6,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,6,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
165723542,MDEwOlJlcG9zaXRvcnkxNjU3MjM1NDI=,twins_embedding,snfactory/twins_embedding,False,https://github.com/snfactory/twins_embedding,Twins Embedding of Type Ia Supernovae,False,https://api.github.com/repos/snfactory/twins_embedding,2019-01-14T19:41:02Z,2024-04-20T02:29:16Z,2022-06-23T04:19:08Z,,23098,1,1,Jupyter Notebook,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
372284239,MDEwOlJlcG9zaXRvcnkzNzIyODQyMzk=,crowbot,snfactory/crowbot,False,https://github.com/snfactory/crowbot,Slack chatbot for astronomical observing,True,https://api.github.com/repos/snfactory/crowbot,2021-05-30T18:09:35Z,2021-05-30T18:09:36Z,2016-12-11T02:18:29Z,,226,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372289887,MDEwOlJlcG9zaXRvcnkzNzIyODk4ODc=,spectral_lines,snfactory/spectral_lines,False,https://github.com/snfactory/spectral_lines,Tools for measuring spectral features in Type Ia supernova spectra,True,https://api.github.com/repos/snfactory/spectral_lines,2021-05-30T18:38:21Z,2021-05-30T18:38:22Z,2020-07-23T21:41:23Z,,74,0,0,,False,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372290173,MDEwOlJlcG9zaXRvcnkzNzIyOTAxNzM=,open-sne-scrape,snfactory/open-sne-scrape,False,https://github.com/snfactory/open-sne-scrape,Scrape data from sne.space,True,https://api.github.com/repos/snfactory/open-sne-scrape,2021-05-30T18:39:57Z,2021-05-30T18:39:58Z,2017-03-10T19:49:01Z,,44,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372290233,MDEwOlJlcG9zaXRvcnkzNzIyOTAyMzM=,bsnip_si_vel_pca,snfactory/bsnip_si_vel_pca,False,https://github.com/snfactory/bsnip_si_vel_pca,Code to evaluate the measurement of SN ejecta velocities with a PCA of the SiII6355 feature,True,https://api.github.com/repos/snfactory/bsnip_si_vel_pca,2021-05-30T18:40:18Z,2021-05-30T18:40:19Z,2017-05-09T00:50:42Z,,2121,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372290326,MDEwOlJlcG9zaXRvcnkzNzIyOTAzMjY=,cte,snfactory/cte,False,https://github.com/snfactory/cte,Refactored version of SNIFS CTE work,True,https://api.github.com/repos/snfactory/cte,2021-05-30T18:40:47Z,2021-05-30T18:40:48Z,2020-11-07T01:08:33Z,,12835,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
372290415,MDEwOlJlcG9zaXRvcnkzNzIyOTA0MTU=,sncosmo_lc_fits,snfactory/sncosmo_lc_fits,False,https://github.com/snfactory/sncosmo_lc_fits,Tools to work with publicly available SN data sets in sncosmo,True,https://api.github.com/repos/snfactory/sncosmo_lc_fits,2021-05-30T18:41:14Z,2021-05-30T18:41:15Z,2020-03-20T18:52:50Z,,30705,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372290527,MDEwOlJlcG9zaXRvcnkzNzIyOTA1Mjc=,sn_multicollinearity,snfactory/sn_multicollinearity,False,https://github.com/snfactory/sn_multicollinearity,,True,https://api.github.com/repos/snfactory/sn_multicollinearity,2021-05-30T18:41:50Z,2021-05-30T18:41:51Z,2020-12-16T20:40:11Z,,17138,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
372290625,MDEwOlJlcG9zaXRvcnkzNzIyOTA2MjU=,snemo_generator,snfactory/snemo_generator,False,https://github.com/snfactory/snemo_generator,Code for building KDEs of SNEMO parameters,True,https://api.github.com/repos/snfactory/snemo_generator,2021-05-30T18:42:23Z,2021-05-30T18:42:24Z,2020-11-20T21:06:21Z,,9283,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,snfactory,10949696,MDEyOk9yZ2FuaXphdGlvbjEwOTQ5Njk2,Organization,public,False,,,,,,False,False,False,False,True,
