id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
26817008,MDEwOlJlcG9zaXRvcnkyNjgxNzAwOA==,star-coding-guidelines,star-bnl/star-coding-guidelines,False,https://github.com/star-bnl/star-coding-guidelines,Documents related to the charge of writing new STAR coding guidelines which include C++11,False,https://api.github.com/repos/star-bnl/star-coding-guidelines,2014-11-18T15:57:19Z,2022-06-09T21:34:07Z,2022-06-09T21:37:24Z,,1591,1,1,XSLT,True,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
33334069,MDEwOlJlcG9zaXRvcnkzMzMzNDA2OQ==,star-travex,star-bnl/star-travex,False,https://github.com/star-bnl/star-travex,C++ libaries and tools to validate tracking algorithm used by the STAR experiment,False,https://api.github.com/repos/star-bnl/star-travex,2015-04-02T22:04:56Z,2024-09-23T20:53:02Z,2018-08-13T20:15:08Z,,1848,3,3,C++,True,True,True,False,True,False,0,,False,False,1,,True,False,False,[],public,0,1,3,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
37945873,MDEwOlJlcG9zaXRvcnkzNzk0NTg3Mw==,star-picoDst,star-bnl/star-picoDst,False,https://github.com/star-bnl/star-picoDst,A C++ library providing ROOT-based IO for physics analyses at STAR,False,https://api.github.com/repos/star-bnl/star-picoDst,2015-06-23T21:24:13Z,2021-11-14T14:21:44Z,2018-05-11T17:03:48Z,,7088,6,6,C++,True,True,True,True,True,False,15,,False,False,2,,True,False,False,[],public,15,2,6,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
38130024,MDEwOlJlcG9zaXRvcnkzODEzMDAyNA==,star-vertex,star-bnl/star-vertex,False,https://github.com/star-bnl/star-vertex,Contents of *Vertex*/ modules from STAR CVS repository,False,https://api.github.com/repos/star-bnl/star-vertex,2015-06-26T19:36:22Z,2020-09-28T13:16:25Z,2018-10-01T18:51:20Z,,159552,1,1,C++,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
50874815,MDEwOlJlcG9zaXRvcnk1MDg3NDgxNQ==,star-prop,star-bnl/star-prop,False,https://github.com/star-bnl/star-prop,CMake build and containers for STAR experiment,False,https://api.github.com/repos/star-bnl/star-prop,2016-02-01T22:05:58Z,2021-11-14T14:21:42Z,2021-05-21T21:04:59Z,,686,4,4,CMake,True,True,True,True,False,False,5,,False,False,5,,True,False,False,[],public,5,5,4,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
116318047,MDEwOlJlcG9zaXRvcnkxMTYzMTgwNDc=,star-travex-data,star-bnl/star-travex-data,False,https://github.com/star-bnl/star-travex-data,,False,https://api.github.com/repos/star-bnl/star-travex-data,2018-01-04T23:33:36Z,2021-11-14T14:21:40Z,2018-06-14T19:40:38Z,,862,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
176834065,MDEwOlJlcG9zaXRvcnkxNzY4MzQwNjU=,star-py,star-bnl/star-py,False,https://github.com/star-bnl/star-py,Data analysis tools in python,False,https://api.github.com/repos/star-bnl/star-py,2019-03-20T23:44:42Z,2019-04-05T23:04:41Z,2019-04-05T23:04:40Z,,123,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
218590542,MDEwOlJlcG9zaXRvcnkyMTg1OTA1NDI=,KiTrack,star-bnl/KiTrack,False,https://github.com/star-bnl/KiTrack,Toolkit for Tracking,True,https://api.github.com/repos/star-bnl/KiTrack,2019-10-30T18:00:51Z,2020-01-03T21:33:33Z,2020-11-26T07:54:57Z,,1068,0,0,C++,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,0,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
270819596,MDEwOlJlcG9zaXRvcnkyNzA4MTk1OTY=,star-git-tools,star-bnl/star-git-tools,False,https://github.com/star-bnl/star-git-tools,Git commands for STAR,False,https://api.github.com/repos/star-bnl/star-git-tools,2020-06-08T20:36:10Z,2022-06-26T15:44:22Z,2022-06-26T15:44:18Z,,70,1,1,Python,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
311443435,MDEwOlJlcG9zaXRvcnkzMTE0NDM0MzU=,star-mcgen,star-bnl/star-mcgen,False,https://github.com/star-bnl/star-mcgen,Monte-Carlo event generators used by STAR,False,https://api.github.com/repos/star-bnl/star-mcgen,2020-11-09T19:27:38Z,2024-05-09T13:38:09Z,2024-12-18T17:33:35Z,,100375,4,4,Fortran,True,False,True,False,False,False,5,,False,False,1,,True,False,False,[],public,5,1,4,main,star-bnl,12086737,MDEyOk9yZ2FuaXphdGlvbjEyMDg2NzM3,Organization,public,False,False,False,False,False,True,,,,,
