id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
190475176,MDEwOlJlcG9zaXRvcnkxOTA0NzUxNzY=,swig,sundials-codes/swig,False,https://github.com/sundials-codes/swig,This fork of SWIG creates Fortran wrapper code from C++ headers.,True,https://api.github.com/repos/sundials-codes/swig,2019-06-05T22:07:14Z,2021-11-29T21:19:23Z,2021-11-29T21:19:15Z,http://www.swig.org,61667,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
191601704,MDEwOlJlcG9zaXRvcnkxOTE2MDE3MDQ=,sundials-manyvector-demo,sundials-codes/sundials-manyvector-demo,False,https://github.com/sundials-codes/sundials-manyvector-demo,Demonstration application for Multirate+ManyVector capabilities,False,https://api.github.com/repos/sundials-codes/sundials-manyvector-demo,2019-06-12T15:52:22Z,2022-06-22T18:55:13Z,2023-05-24T20:55:21Z,,1783,3,3,C++,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,3,main,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
277657252,MDEwOlJlcG9zaXRvcnkyNzc2NTcyNTI=,PelePhysics,sundials-codes/PelePhysics,False,https://github.com/sundials-codes/PelePhysics,A collection of physics databases and implementation code for use with the Pele suite of of codes,True,https://api.github.com/repos/sundials-codes/PelePhysics,2020-07-06T21:58:27Z,2023-03-02T04:24:08Z,2023-05-30T18:34:23Z,https://pelephysics.readthedocs.io/en/latest/,165153,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,development,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
278103692,MDEwOlJlcG9zaXRvcnkyNzgxMDM2OTI=,tango,sundials-codes/tango,False,https://github.com/sundials-codes/tango,Transport solver for coupling with turbulence,True,https://api.github.com/repos/sundials-codes/tango,2020-07-08T13:56:44Z,2020-07-08T13:56:46Z,2023-02-22T09:31:48Z,,549,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx,False,False,False,False,True,
321827452,MDEwOlJlcG9zaXRvcnkzMjE4Mjc0NTI=,sundials-download-tracker,sundials-codes/sundials-download-tracker,False,https://github.com/sundials-codes/sundials-download-tracker,Code to track downloads of SUNDIALS releases. Uses GitHub actions to update the stats nightly.,False,https://api.github.com/repos/sundials-codes/sundials-download-tracker,2020-12-16T00:50:50Z,2024-09-12T01:46:08Z,2024-09-12T01:46:05Z,,1761,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
340162750,MDEwOlJlcG9zaXRvcnkzNDAxNjI3NTA=,amrex,sundials-codes/amrex,False,https://github.com/sundials-codes/amrex,AMReX: Software Framework for Block Structured AMR,True,https://api.github.com/repos/sundials-codes/amrex,2021-02-18T19:58:43Z,2022-01-05T20:32:27Z,2024-02-13T16:39:46Z,https://amrex-codes.github.io/amrex,54470,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,development,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
357969361,MDEwOlJlcG9zaXRvcnkzNTc5NjkzNjE=,radiuss-spack-configs,sundials-codes/radiuss-spack-configs,False,https://github.com/sundials-codes/radiuss-spack-configs,Shared spack configurations for RADIUSS projects,True,https://api.github.com/repos/sundials-codes/radiuss-spack-configs,2021-04-14T16:20:13Z,2024-10-25T16:19:01Z,2024-10-25T16:18:57Z,,3710,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
419895168,R_kgDOGQcXgA,ARKODE-stepper-template,sundials-codes/ARKODE-stepper-template,False,https://github.com/sundials-codes/ARKODE-stepper-template,Template for custom ARKODE time-stepping module,False,https://api.github.com/repos/sundials-codes/ARKODE-stepper-template,2021-10-21T22:31:03Z,2021-10-22T03:24:55Z,2021-10-22T03:24:52Z,,15,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
428338568,R_kgDOGYftiA,PeleC,sundials-codes/PeleC,False,https://github.com/sundials-codes/PeleC,An AMR code for compressible reacting flow simulations,True,https://api.github.com/repos/sundials-codes/PeleC,2021-11-15T16:24:38Z,2022-01-04T19:30:57Z,2023-02-21T03:50:52Z,https://amrex-combustion.github.io/PeleC,15399,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,development,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
442566903,R_kgDOGmEI9w,Nyx,sundials-codes/Nyx,False,https://github.com/sundials-codes/Nyx,"An adaptive mesh, N-body hydro cosmological simulation code",True,https://api.github.com/repos/sundials-codes/Nyx,2021-12-28T19:42:46Z,2021-12-29T01:47:31Z,2022-12-05T20:29:49Z,https://amrex-astro.github.io/Nyx/,45196,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,development,sundials-codes,51385734,MDEyOk9yZ2FuaXphdGlvbjUxMzg1NzM0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
