id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
168020929,MDEwOlJlcG9zaXRvcnkxNjgwMjA5Mjk=,V2X-Hub,usdot-fhwa-OPS/V2X-Hub,False,https://github.com/usdot-fhwa-OPS/V2X-Hub,V2X Hub is a message handler that acts as a translator and data aggregator/disseminator for infrastructure components of a connected vehicle deployment.,False,https://api.github.com/repos/usdot-fhwa-OPS/V2X-Hub,2019-01-28T19:16:45Z,2024-12-12T21:16:06Z,2024-12-20T20:23:34Z,,98993,123,123,C,True,True,True,True,False,False,69,,False,False,38,True,False,False,[],public,69,38,123,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
599807146,R_kgDOI8BUqg,libwebsockets,usdot-fhwa-OPS/libwebsockets,False,https://github.com/usdot-fhwa-OPS/libwebsockets,canonical libwebsockets.org websocket library,True,https://api.github.com/repos/usdot-fhwa-OPS/libwebsockets,2023-02-09T23:18:59Z,2023-02-13T19:11:20Z,2019-06-21T16:35:26Z,,22554,0,0,,False,True,True,False,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
619834469,R_kgDOJPHsZQ,.github,usdot-fhwa-OPS/.github,False,https://github.com/usdot-fhwa-OPS/.github,,False,https://api.github.com/repos/usdot-fhwa-OPS/.github,2023-03-27T14:12:36Z,2023-03-27T14:12:36Z,2023-03-27T14:14:29Z,,4,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,,,,,,False,False,False,False,True,
665552572,R_kgDOJ6uGvA,ITS-Secure-Prototype-App,usdot-fhwa-OPS/ITS-Secure-Prototype-App,False,https://github.com/usdot-fhwa-OPS/ITS-Secure-Prototype-App,,False,https://api.github.com/repos/usdot-fhwa-OPS/ITS-Secure-Prototype-App,2023-07-12T13:07:14Z,2024-07-18T20:01:15Z,2024-07-18T20:01:15Z,,1986,0,0,Dart,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
709353195,R_kgDOKkfe6w,ITS-Secure-Prototype-Backend,usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,False,https://github.com/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,Repository for AWS backend configuration and code for the Cybersecurity for ITS project.,False,https://api.github.com/repos/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,2023-10-24T14:45:48Z,2024-07-18T20:17:28Z,2024-07-18T20:17:27Z,,21,0,0,Python,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
709354398,R_kgDOKkfjng,ITS-Secure-Prototype-Frontend,usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend,False,https://github.com/usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend,Frontend code for Cybersecurity for ITS project,False,https://api.github.com/repos/usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend,2023-10-24T14:48:27Z,2024-07-18T20:19:18Z,2024-07-18T20:19:17Z,,451,0,0,JavaScript,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
794317092,R_kgDOL1hRJA,v2xhub-angular-ui-prototype,usdot-fhwa-OPS/v2xhub-angular-ui-prototype,False,https://github.com/usdot-fhwa-OPS/v2xhub-angular-ui-prototype,V2X-Hub Prototype Angular UI,False,https://api.github.com/repos/usdot-fhwa-OPS/v2xhub-angular-ui-prototype,2024-04-30T22:12:43Z,2024-10-01T21:52:58Z,2024-10-01T21:53:04Z,,909,0,0,TypeScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,prototype,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
880935488,R_kgDONIICQA,V2X-Hub-UI,usdot-fhwa-OPS/V2X-Hub-UI,False,https://github.com/usdot-fhwa-OPS/V2X-Hub-UI,,False,https://api.github.com/repos/usdot-fhwa-OPS/V2X-Hub-UI,2024-10-30T16:13:30Z,2024-11-01T14:01:59Z,2024-11-01T14:01:55Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,,,,,,False,False,False,False,True,
888543065,R_kgDONPYXWQ,ngx-traffic-cdk,usdot-fhwa-OPS/ngx-traffic-cdk,False,https://github.com/usdot-fhwa-OPS/ngx-traffic-cdk,,False,https://api.github.com/repos/usdot-fhwa-OPS/ngx-traffic-cdk,2024-11-14T15:22:47Z,2024-11-14T15:25:32Z,2024-11-14T15:25:39Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,,,,,,False,False,False,False,True,
901530012,R_kgDONbxBnA,pcis-poc,usdot-fhwa-OPS/pcis-poc,False,https://github.com/usdot-fhwa-OPS/pcis-poc,This is a public repository that contains web application code and configuration files related to Amazon Web Services.,False,https://api.github.com/repos/usdot-fhwa-OPS/pcis-poc,2024-12-10T20:37:16Z,2024-12-16T15:30:27Z,2024-12-16T15:30:18Z,,52,0,0,CSS,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,usdot-fhwa-OPS,48696179,MDEyOk9yZ2FuaXphdGlvbjQ4Njk2MTc5,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
