id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
22661871,MDEwOlJlcG9zaXRvcnkyMjY2MTg3MQ==,playbook,usds/playbook,False,https://github.com/usds/playbook,The Digital Services Playbook,False,https://api.github.com/repos/usds/playbook,2014-08-05T22:40:14Z,2024-12-16T13:35:21Z,2024-07-14T13:21:17Z,https://playbook.cio.gov/,3790,1434,1434,SCSS,True,True,True,False,True,False,330,,False,False,60,,True,False,False,[],public,330,60,1434,gh-pages,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
54174216,MDEwOlJlcG9zaXRvcnk1NDE3NDIxNg==,website,usds/website,False,https://github.com/usds/website,,False,https://api.github.com/repos/usds/website,2016-03-18T04:41:46Z,2024-12-18T16:05:41Z,2024-12-18T16:07:16Z,https://www.usds.gov,667384,55,55,HTML,True,True,True,True,True,False,42,,False,False,10,,True,False,False,[],public,42,10,55,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
58673789,MDEwOlJlcG9zaXRvcnk1ODY3Mzc4OQ==,uswds-docs-template,usds/uswds-docs-template,False,https://github.com/usds/uswds-docs-template,"A Jekyll site that provides a baseline for a documentation content site, conforming to the U.S. Web Design System.",False,https://api.github.com/repos/usds/uswds-docs-template,2016-05-12T20:17:46Z,2024-03-12T12:40:36Z,2020-08-11T21:20:39Z,,1573,15,15,JavaScript,True,True,True,True,False,False,12,,True,False,5,,True,False,False,[],public,12,5,15,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
58751969,MDEwOlJlcG9zaXRvcnk1ODc1MTk2OQ==,techfar-hub,usds/techfar-hub,False,https://github.com/usds/techfar-hub,TechFAR Hub,False,https://api.github.com/repos/usds/techfar-hub,2016-05-13T15:31:18Z,2024-09-11T08:19:29Z,2019-02-11T17:31:23Z,,33551,22,22,JavaScript,True,True,True,True,True,False,11,,True,False,1,,True,False,False,[],public,11,1,22,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
71471620,MDEwOlJlcG9zaXRvcnk3MTQ3MTYyMA==,benefits-enrollment-prototype,usds/benefits-enrollment-prototype,False,https://github.com/usds/benefits-enrollment-prototype,,False,https://api.github.com/repos/usds/benefits-enrollment-prototype,2016-10-20T14:31:48Z,2024-09-11T08:19:38Z,2022-10-05T22:43:58Z,https://usds.github.io/benefits-enrollment-prototype/,23437,31,31,HTML,True,True,True,True,True,False,13,,False,False,20,,True,False,False,[],public,13,20,31,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
73382402,MDEwOlJlcG9zaXRvcnk3MzM4MjQwMg==,uswds-jekyll,usds/uswds-jekyll,False,https://github.com/usds/uswds-jekyll,,False,https://api.github.com/repos/usds/uswds-jekyll,2016-11-10T13:00:35Z,2023-05-10T19:51:27Z,2022-12-11T19:08:11Z,,12782,14,14,SCSS,True,True,True,True,True,False,13,,False,False,16,,True,False,False,[],public,13,16,14,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
129421356,MDEwOlJlcG9zaXRvcnkxMjk0MjEzNTY=,us-forms-system,usds/us-forms-system,False,https://github.com/usds/us-forms-system,Build React forms with JSON Schema and the U.S. Web Design System,False,https://api.github.com/repos/usds/us-forms-system,2018-04-13T15:32:02Z,2024-09-24T20:56:37Z,2022-12-07T18:59:38Z,,6086,140,140,JavaScript,True,True,True,True,False,False,35,,False,False,27,,True,False,False,[],public,35,27,140,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
136270317,MDEwOlJlcG9zaXRvcnkxMzYyNzAzMTc=,us-forms-system-starter-app,usds/us-forms-system-starter-app,False,https://github.com/usds/us-forms-system-starter-app,Starter app using U.S. Forms System,False,https://api.github.com/repos/usds/us-forms-system-starter-app,2018-06-06T04:07:45Z,2024-03-12T12:43:21Z,2022-12-10T16:19:53Z,,3277,13,13,JavaScript,True,True,True,True,False,False,18,,False,False,28,,True,False,False,[],public,18,28,13,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
180631918,MDEwOlJlcG9zaXRvcnkxODA2MzE5MTg=,SME-QA-Website,usds/SME-QA-Website,False,https://github.com/usds/SME-QA-Website,Pilot project to improve the competitive service hiring process,False,https://api.github.com/repos/usds/SME-QA-Website,2019-04-10T17:34:19Z,2024-08-22T13:51:36Z,2023-05-18T20:08:13Z,https://smeqa.usds.gov/,83531,3,3,HTML,True,True,True,True,True,False,8,,False,False,53,,True,False,False,[],public,8,53,3,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
196634912,MDEwOlJlcG9zaXRvcnkxOTY2MzQ5MTI=,case-issue-navigator,usds/case-issue-navigator,False,https://github.com/usds/case-issue-navigator,Front end for the Case Issue Navigation project in DHS.,False,https://api.github.com/repos/usds/case-issue-navigator,2019-07-12T19:30:55Z,2024-03-12T12:44:53Z,2023-01-04T09:15:42Z,,2240,4,4,TypeScript,True,True,True,True,False,False,2,,False,False,35,,True,False,False,[],public,2,35,4,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
196669162,MDEwOlJlcG9zaXRvcnkxOTY2NjkxNjI=,case-issue-api,usds/case-issue-api,False,https://github.com/usds/case-issue-api,Back end services for the Case Issue Navigator.,False,https://api.github.com/repos/usds/case-issue-api,2019-07-13T02:29:38Z,2024-03-12T12:44:53Z,2021-10-15T18:42:18Z,,952,2,2,Java,True,True,True,False,False,False,1,,False,False,15,,True,False,False,[],public,1,15,2,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
214522401,MDEwOlJlcG9zaXRvcnkyMTQ1MjI0MDE=,html-prototype,usds/html-prototype,False,https://github.com/usds/html-prototype,Framework with USWDS 2 and static prototyping,False,https://api.github.com/repos/usds/html-prototype,2019-10-11T20:20:53Z,2022-02-22T19:53:36Z,2022-12-04T15:38:52Z,,7740,6,6,SCSS,True,True,True,True,False,False,3,,False,False,14,,True,False,False,[],public,3,14,6,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
232894175,MDEwOlJlcG9zaXRvcnkyMzI4OTQxNzU=,onceler,usds/onceler,False,https://github.com/usds/onceler,Onceler listens to your secrets and shares them exactly once.,True,https://api.github.com/repos/usds/onceler,2020-01-09T20:01:44Z,2024-03-12T12:45:32Z,2023-03-09T22:38:25Z,,784,4,4,HTML,False,False,True,False,False,False,2,,False,False,0,,True,False,False,[],public,2,0,4,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
238057259,MDEwOlJlcG9zaXRvcnkyMzgwNTcyNTk=,accelerator,usds/accelerator,False,https://github.com/usds/accelerator,Accelerator @ DHS,False,https://api.github.com/repos/usds/accelerator,2020-02-03T20:38:29Z,2024-03-12T12:45:39Z,2020-05-26T19:27:30Z,https://usds.github.io/Accelerator/,6937,4,4,CSS,True,True,True,True,True,False,1,,True,False,1,,True,False,False,[],public,1,1,4,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
245201843,MDEwOlJlcG9zaXRvcnkyNDUyMDE4NDM=,anet,usds/anet,False,https://github.com/usds/anet,Advisor Network,True,https://api.github.com/repos/usds/anet,2020-03-05T15:38:28Z,2024-03-12T12:45:50Z,2020-03-05T15:25:40Z,,33974,3,3,,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,candidate,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
245203426,MDEwOlJlcG9zaXRvcnkyNDUyMDM0MjY=,apis.gov,usds/apis.gov,False,https://github.com/usds/apis.gov,Discover federal APIs,False,https://api.github.com/repos/usds/apis.gov,2020-03-05T15:44:59Z,2022-12-23T22:14:17Z,2023-04-12T05:22:39Z,,5134,8,8,OCaml,True,True,True,True,True,False,6,,False,False,27,,True,False,False,[],public,6,27,8,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
281761511,MDEwOlJlcG9zaXRvcnkyODE3NjE1MTE=,nodejs-buildpack,usds/nodejs-buildpack,False,https://github.com/usds/nodejs-buildpack,Cloud Foundry buildpack for Node.js,True,https://api.github.com/repos/usds/nodejs-buildpack,2020-07-22T19:06:27Z,2024-03-12T12:46:30Z,2020-07-22T18:14:17Z,http://docs.cloudfoundry.org/buildpacks/,130272,2,2,,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
290879630,MDEwOlJlcG9zaXRvcnkyOTA4Nzk2MzA=,covid-19-reopening-analysis,usds/covid-19-reopening-analysis,False,https://github.com/usds/covid-19-reopening-analysis,,False,https://api.github.com/repos/usds/covid-19-reopening-analysis,2020-08-27T20:54:08Z,2024-03-12T12:46:38Z,2022-02-11T00:12:12Z,,2224,1,1,TypeScript,True,True,True,True,False,False,1,,False,False,8,,True,False,False,[],public,1,8,1,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
297717284,MDEwOlJlcG9zaXRvcnkyOTc3MTcyODQ=,uswds-vue,usds/uswds-vue,False,https://github.com/usds/uswds-vue,Vue components for U.S. web design system,False,https://api.github.com/repos/usds/uswds-vue,2020-09-22T17:05:30Z,2024-03-12T12:46:42Z,2022-02-16T17:24:12Z,,21101,10,10,Vue,True,True,True,True,True,False,4,,False,False,2,,True,False,False,[],public,4,2,10,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
303838275,MDEwOlJlcG9zaXRvcnkzMDM4MzgyNzU=,cloud-gov-cli,usds/cloud-gov-cli,False,https://github.com/usds/cloud-gov-cli,A Docker-based action to provide a cloud.gov command line for Github Actions,False,https://api.github.com/repos/usds/cloud-gov-cli,2020-10-13T21:59:24Z,2021-12-07T21:43:53Z,2021-12-07T21:43:50Z,,9,0,0,Shell,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,0,master,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
308465925,MDEwOlJlcG9zaXRvcnkzMDg0NjU5MjU=,discovery-sprint-guide,usds/discovery-sprint-guide,False,https://github.com/usds/discovery-sprint-guide,Playbook microsite for running discovery sprints,False,https://api.github.com/repos/usds/discovery-sprint-guide,2020-10-29T22:37:30Z,2024-11-01T13:59:54Z,2023-09-21T20:30:42Z,https://sprint.usds.gov,5362,9,9,HTML,True,True,True,True,True,False,5,,False,False,2,,True,False,False,[],public,5,2,9,main,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
328693122,MDEwOlJlcG9zaXRvcnkzMjg2OTMxMjI=,ssa-prototypes,usds/ssa-prototypes,False,https://github.com/usds/ssa-prototypes,Website prototypes for SSA,False,https://api.github.com/repos/usds/ssa-prototypes,2021-01-11T14:38:26Z,2024-03-12T12:46:55Z,2021-10-25T17:04:19Z,,977,1,1,TypeScript,True,True,True,True,False,False,2,,True,False,0,,True,False,False,[],public,2,0,1,main,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
349491511,MDEwOlJlcG9zaXRvcnkzNDk0OTE1MTE=,Womens-history-month-editathon,usds/Womens-history-month-editathon,False,https://github.com/usds/Womens-history-month-editathon,,False,https://api.github.com/repos/usds/Womens-history-month-editathon,2021-03-19T16:43:03Z,2024-03-12T12:47:02Z,2021-03-24T15:47:31Z,,223,1,1,,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,1,main,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
351860200,MDEwOlJlcG9zaXRvcnkzNTE4NjAyMDA=,irs-acronyms,usds/irs-acronyms,False,https://github.com/usds/irs-acronyms,,False,https://api.github.com/repos/usds/irs-acronyms,2021-03-26T17:24:40Z,2024-03-12T12:47:02Z,2022-04-01T14:28:12Z,,2741,2,2,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,main,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
357546152,MDEwOlJlcG9zaXRvcnkzNTc1NDYxNTI=,erap-guidance,usds/erap-guidance,False,https://github.com/usds/erap-guidance,Treasury - Emergency Rental Assistance Program Guidance,False,https://api.github.com/repos/usds/erap-guidance,2021-04-13T12:32:48Z,2024-03-12T12:47:04Z,2023-01-31T02:46:28Z,https://usds.github.io/erap-guidance/,71952,4,4,CSS,True,True,True,True,True,False,1,,False,False,11,,True,False,False,"['guidance', 'rental-assistance', 'treasury']",public,1,11,4,main,usds,8751968,MDEyOk9yZ2FuaXphdGlvbjg3NTE5Njg=,Organization,public,False,False,False,False,False,True,,,,,
