id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
32038456,MDEwOlJlcG9zaXRvcnkzMjAzODQ1Ng==,bulk-data,usgpo/bulk-data,False,https://github.com/usgpo/bulk-data,"User Guides for XML on the govinfo Bulk Data Repository. For information about Bill Status XML Bulk Data, see https://github.com/usgpo/bill-status. ",False,https://api.github.com/repos/usgpo/bulk-data,2015-03-11T20:03:40Z,2024-12-20T03:14:50Z,2024-04-24T18:37:08Z,https://www.govinfo.gov/bulkdata,7177,284,284,,True,True,True,False,False,False,104,,False,False,41,,True,False,False,[],public,104,41,284,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,,,,,
32042385,MDEwOlJlcG9zaXRvcnkzMjA0MjM4NQ==,link-service,usgpo/link-service,False,https://github.com/usgpo/link-service,The link service is used to create links to content and metadata on govinfo,False,https://api.github.com/repos/usgpo/link-service,2015-03-11T21:32:51Z,2024-12-02T11:13:09Z,2024-03-27T19:28:22Z,,32,91,91,,True,True,True,False,False,False,43,,False,False,5,,True,False,False,['government-data'],public,43,5,91,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
32042760,MDEwOlJlcG9zaXRvcnkzMjA0Mjc2MA==,sitemap,usgpo/sitemap,False,https://github.com/usgpo/sitemap,How to use govinfo sitemaps to crawl for content and metadata,False,https://api.github.com/repos/usgpo/sitemap,2015-03-11T21:42:18Z,2024-11-25T12:42:26Z,2024-03-06T18:38:52Z,,10,47,47,,True,True,True,False,False,False,16,,False,False,0,,True,False,False,[],public,16,0,47,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
32084547,MDEwOlJlcG9zaXRvcnkzMjA4NDU0Nw==,collections,usgpo/collections,False,https://github.com/usgpo/collections,Information about govinfo metadata,False,https://api.github.com/repos/usgpo/collections,2015-03-12T15:27:52Z,2024-09-13T17:15:29Z,2023-09-21T17:48:45Z,,651,34,34,,True,True,True,False,True,False,18,,False,False,1,,True,False,False,[],public,18,1,34,master,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
47555930,MDEwOlJlcG9zaXRvcnk0NzU1NTkzMA==,bill-status,usgpo/bill-status,False,https://github.com/usgpo/bill-status,Information about Bill Status XML Bulk Data including the XML User Guide. ,False,https://api.github.com/repos/usgpo/bill-status,2015-12-07T14:09:34Z,2024-12-20T03:14:55Z,2024-09-18T13:24:50Z,https://www.govinfo.gov/bulkdata/BILLSTATUS,3702,161,161,,True,True,True,True,False,False,47,,False,False,14,,True,False,False,"['bill-status', 'government-data', 'xml']",public,47,14,161,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,,,,,
54531554,MDEwOlJlcG9zaXRvcnk1NDUzMTU1NA==,house-manual,usgpo/house-manual,False,https://github.com/usgpo/house-manual,House Manual in XML using the United States Legislative Markup schema,False,https://api.github.com/repos/usgpo/house-manual,2016-03-23T04:45:45Z,2024-11-03T18:35:01Z,2022-04-07T04:57:14Z,,6127,25,25,XSLT,True,True,True,True,False,False,19,,False,False,0,,True,False,False,"['congress', 'government-data', 'legislative-data', 'xml']",public,19,0,25,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,,,,,
66962835,MDEwOlJlcG9zaXRvcnk2Njk2MjgzNQ==,bill-dtd,usgpo/bill-dtd,False,https://github.com/usgpo/bill-dtd,"XML DTDs for Congressional bills, amendments, and resolutions",False,https://api.github.com/repos/usgpo/bill-dtd,2016-08-30T17:30:54Z,2024-11-24T11:26:13Z,2020-02-05T05:33:03Z,,29,20,20,,True,True,True,True,False,False,12,,False,False,1,,True,False,False,[],public,12,1,20,master,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
66968187,MDEwOlJlcG9zaXRvcnk2Njk2ODE4Nw==,uslm,usgpo/uslm,False,https://github.com/usgpo/uslm,United States Legislative Markup (USLM) XML Schema,False,https://api.github.com/repos/usgpo/uslm,2016-08-30T18:46:43Z,2024-11-23T15:58:17Z,2024-10-22T12:28:57Z,,45948,139,139,CSS,True,True,True,True,False,False,44,,False,False,3,,True,False,False,[],public,44,3,139,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
96575803,MDEwOlJlcG9zaXRvcnk5NjU3NTgwMw==,rss,usgpo/rss,False,https://github.com/usgpo/rss,rss feed documentation for govinfo content and metadata,False,https://api.github.com/repos/usgpo/rss,2017-07-07T20:52:34Z,2024-09-13T17:15:45Z,2023-03-20T09:49:47Z,,13,51,51,,True,True,True,False,False,False,12,,False,False,3,,True,False,False,[],public,12,3,51,master,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
98192974,MDEwOlJlcG9zaXRvcnk5ODE5Mjk3NA==,cataloging-records,usgpo/cataloging-records,False,https://github.com/usgpo/cataloging-records,Downloadable MARC records from the U.S. Government Publishing Office.,False,https://api.github.com/repos/usgpo/cataloging-records,2017-07-24T13:20:32Z,2024-11-12T15:56:05Z,2024-09-16T18:11:14Z,https://catalog.gpo.gov,362382,54,54,mIRC Script,True,False,True,False,False,False,19,,False,False,0,,True,False,False,"['bibliographic-records', 'cataloging-records', 'cgp-records', 'federal-depository-library', 'gpo']",public,19,0,54,main,usgpo,11429478,MDEyOk9yZ2FuaXphdGlvbjExNDI5NDc4,Organization,public,False,False,False,False,False,True,,,,,
