id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
607511,MDEwOlJlcG9zaXRvcnk2MDc1MTE=,federalregister-api-core,usnationalarchives/federalregister-api-core,False,https://github.com/usnationalarchives/federalregister-api-core,Federal Register 2.0 API and Data Importer,False,https://api.github.com/repos/usnationalarchives/federalregister-api-core,2010-04-12T23:21:43Z,2024-11-01T18:49:07Z,2024-02-07T19:43:42Z,https://www.federalregister.gov,17526,136,136,Ruby,True,True,True,True,False,False,34,,False,False,9,True,False,False,[],public,34,9,136,main,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
1228794,MDEwOlJlcG9zaXRvcnkxMjI4Nzk0,fr2_blog,usnationalarchives/fr2_blog,False,https://github.com/usnationalarchives/fr2_blog,,False,https://api.github.com/repos/usnationalarchives/fr2_blog,2011-01-07T06:42:49Z,2023-01-28T15:53:49Z,2020-02-04T22:07:51Z,,18454,9,9,PHP,False,False,True,False,False,False,4,,True,False,1,True,False,False,[],public,4,1,9,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,,,,,,False,False,False,False,True,
2138478,MDEwOlJlcG9zaXRvcnkyMTM4NDc4,federal_register,usnationalarchives/federal_register,False,https://github.com/usnationalarchives/federal_register,Ruby API Client for FederalRegister.gov that handles searching articles and getting information about agencies,False,https://api.github.com/repos/usnationalarchives/federal_register,2011-08-01T19:09:24Z,2024-10-22T22:38:25Z,2024-11-12T22:53:20Z,http://www.federalregister.gov/learn/developers,138,71,71,Ruby,True,True,True,True,False,False,21,,False,False,7,True,False,False,[],public,21,7,71,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2252148,MDEwOlJlcG9zaXRvcnkyMjUyMTQ4,federalregister-web,usnationalarchives/federalregister-web,False,https://github.com/usnationalarchives/federalregister-web,Federal Register 2.0 Web Display,False,https://api.github.com/repos/usnationalarchives/federalregister-web,2011-08-23T00:00:20Z,2024-11-01T18:49:20Z,2024-03-19T23:35:13Z,https://www.federalregister.gov,6749,37,37,Ruby,True,True,True,True,False,False,14,,False,False,8,True,False,False,[],public,14,8,37,main,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,,,,,,False,False,False,False,True,
2533400,MDEwOlJlcG9zaXRvcnkyNTMzNDAw,File-Analyzer,usnationalarchives/File-Analyzer,False,https://github.com/usnationalarchives/File-Analyzer,NARA File Analyzer and Metadata Harvester,False,https://api.github.com/repos/usnationalarchives/File-Analyzer,2011-10-07T15:35:12Z,2024-11-20T03:17:35Z,2016-12-06T13:35:04Z,http://www.archives.gov/developer,1959,104,104,Java,True,True,True,False,False,False,29,,False,False,1,True,False,False,[],public,29,1,104,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2533446,MDEwOlJlcG9zaXRvcnkyNTMzNDQ2,Video-Frame-Analyzer,usnationalarchives/Video-Frame-Analyzer,False,https://github.com/usnationalarchives/Video-Frame-Analyzer,NARA Video Frame Analyzer,False,https://api.github.com/repos/usnationalarchives/Video-Frame-Analyzer,2011-10-07T15:42:33Z,2024-11-23T06:17:26Z,2016-12-06T13:36:24Z,http://www.archives.gov/developer ,756,28,28,Java,True,True,True,False,False,False,9,,False,False,0,True,False,False,[],public,9,0,28,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3441955,MDEwOlJlcG9zaXRvcnkzNDQxOTU1,AVI-MetaEdit,usnationalarchives/AVI-MetaEdit,False,https://github.com/usnationalarchives/AVI-MetaEdit,NARA AVI-MetaEdit,False,https://api.github.com/repos/usnationalarchives/AVI-MetaEdit,2012-02-14T17:15:40Z,2024-08-12T19:10:47Z,2016-12-06T13:32:00Z,http://www.archives.gov/developer,24725,9,9,C++,True,True,True,False,False,False,19,,False,False,0,True,False,False,[],public,19,0,9,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3471817,MDEwOlJlcG9zaXRvcnkzNDcxODE3,MediaInfo,usnationalarchives/MediaInfo,False,https://github.com/usnationalarchives/MediaInfo,NARA MediaInfo,False,https://api.github.com/repos/usnationalarchives/MediaInfo,2012-02-17T16:54:23Z,2024-03-12T12:37:05Z,2016-12-06T13:35:24Z,http://www.archives.gov/developer,2394,7,7,,False,True,True,False,False,False,7,,False,False,0,True,False,False,[],public,7,0,7,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,,,,,,False,False,False,False,True,
10246475,MDEwOlJlcG9zaXRvcnkxMDI0NjQ3NQ==,feedback,usnationalarchives/feedback,False,https://github.com/usnationalarchives/feedback,"Do you have feedback, ideas, or questions for the US National Archives? Use this repository's Issue Tracker to join the discussion.    ",False,https://api.github.com/repos/usnationalarchives/feedback,2013-05-23T15:11:27Z,2020-02-26T23:28:15Z,2013-05-23T15:16:51Z,http://www.archives.gov/developer,108,3,3,,True,True,True,False,False,False,4,,False,False,4,True,False,False,[],public,4,4,3,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,,,,,,False,False,False,False,True,
25315798,MDEwOlJlcG9zaXRvcnkyNTMxNTc5OA==,Twitterbot,usnationalarchives/Twitterbot,False,https://github.com/usnationalarchives/Twitterbot,Experimental twitter bot using NARA's test API.,False,https://api.github.com/repos/usnationalarchives/Twitterbot,2014-10-16T18:32:51Z,2021-07-23T14:02:23Z,2016-12-06T13:36:09Z,,18,6,6,Python,True,True,True,True,False,False,4,,False,False,1,True,False,False,[],public,4,1,6,master,usnationalarchives,1110487,MDEyOk9yZ2FuaXphdGlvbjExMTA0ODc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
