id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
136500071,MDEwOlJlcG9zaXRvcnkxMzY1MDAwNzE=,case-management-rfq,ustaxcourt/case-management-rfq,False,https://github.com/ustaxcourt/case-management-rfq,RFQ for Agile Software Development Services,False,https://api.github.com/repos/ustaxcourt/case-management-rfq,2018-06-07T15:53:20Z,2024-08-12T15:19:07Z,2018-08-22T20:46:55Z,https://ustaxcourt.gov/,6910,17,17,,True,False,True,False,False,False,12,,True,False,14,,True,False,False,"['court', 'government', 'law', 'rfq', 'tax', 'taxcourt']",public,12,14,17,master,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
136526711,MDEwOlJlcG9zaXRvcnkxMzY1MjY3MTE=,petition-prototype,ustaxcourt/petition-prototype,False,https://github.com/ustaxcourt/petition-prototype,Prototyping a web-based interface for filing petitions with the court.,False,https://api.github.com/repos/ustaxcourt/petition-prototype,2018-06-07T20:18:07Z,2023-01-28T20:07:52Z,2018-08-24T16:07:19Z,http://prototype.ustaxcourt.gov.s3-website.us-east-2.amazonaws.com/project/,2024,1,1,CSS,True,True,True,False,True,False,0,,True,False,0,,True,False,False,[],public,0,0,1,master,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
148831192,MDEwOlJlcG9zaXRvcnkxNDg4MzExOTI=,ef-cms,ustaxcourt/ef-cms,False,https://github.com/ustaxcourt/ef-cms,An Electronic Filing / Case Management System.,False,https://api.github.com/repos/ustaxcourt/ef-cms,2018-09-14T19:08:44Z,2024-12-20T21:31:05Z,2024-12-20T21:30:58Z,https://dawson.ustaxcourt.gov/,1201571,91,91,TypeScript,True,True,True,True,True,False,47,,False,False,121,,True,False,False,"['case-management', 'court', 'ef-cms']",public,47,121,91,staging,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
239788228,MDEwOlJlcG9zaXRvcnkyMzk3ODgyMjg=,infosvcs,ustaxcourt/infosvcs,False,https://github.com/ustaxcourt/infosvcs,US Tax Court Information Services support repo... focused on productivity tools for the Court,False,https://api.github.com/repos/ustaxcourt/infosvcs,2020-02-11T14:55:12Z,2020-02-11T15:46:41Z,2020-02-11T14:55:14Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,3,,True,False,False,[],public,0,3,0,master,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
250937056,MDEwOlJlcG9zaXRvcnkyNTA5MzcwNTY=,efcms-dev,ustaxcourt/efcms-dev,False,https://github.com/ustaxcourt/efcms-dev,,False,https://api.github.com/repos/ustaxcourt/efcms-dev,2020-03-29T02:23:38Z,2020-03-29T02:35:15Z,2020-03-29T02:23:39Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
381178237,MDEwOlJlcG9zaXRvcnkzODExNzgyMzc=,textract_scan,ustaxcourt/textract_scan,False,https://github.com/ustaxcourt/textract_scan,Setup AWS Textract Service to scan PDFs,False,https://api.github.com/repos/ustaxcourt/textract_scan,2021-06-28T22:42:55Z,2023-07-14T18:35:07Z,2021-07-15T20:05:46Z,,14,1,1,HCL,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,1,main,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
414658692,R_kgDOGLcwhA,test-bfg,ustaxcourt/test-bfg,False,https://github.com/ustaxcourt/test-bfg,testing bfg work,False,https://api.github.com/repos/ustaxcourt/test-bfg,2021-10-07T15:34:13Z,2021-10-12T23:49:20Z,2021-10-12T23:49:17Z,,17106,0,0,JavaScript,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,0,main,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
701053565,R_kgDOKck6fQ,sharepoint-integration,ustaxcourt/sharepoint-integration,False,https://github.com/ustaxcourt/sharepoint-integration,npm package to reuse publishing to sharepoint,False,https://api.github.com/repos/ustaxcourt/sharepoint-integration,2023-10-05T20:16:34Z,2024-08-13T16:45:49Z,2024-08-14T13:45:43Z,,262,0,0,TypeScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
761938346,R_kgDOLWpBqg,library-koha-uploader,ustaxcourt/library-koha-uploader,False,https://github.com/ustaxcourt/library-koha-uploader,,False,https://api.github.com/repos/ustaxcourt/library-koha-uploader,2024-02-22T19:13:16Z,2024-12-06T12:31:02Z,2024-11-20T21:40:27Z,,538,1,1,TypeScript,True,True,True,True,False,False,0,,False,False,5,,True,False,False,[],public,0,5,1,main,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
905964242,R_kgDONf_q0g,2024-digital-environment-rfi,ustaxcourt/2024-digital-environment-rfi,False,https://github.com/ustaxcourt/2024-digital-environment-rfi,,False,https://api.github.com/repos/ustaxcourt/2024-digital-environment-rfi,2024-12-19T21:45:14Z,2024-12-19T22:17:32Z,2024-12-19T22:12:36Z,,376,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,ustaxcourt,40034127,MDEyOk9yZ2FuaXphdGlvbjQwMDM0MTI3,Organization,public,False,False,False,False,False,True,,,,,
