id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
35968578,MDEwOlJlcG9zaXRvcnkzNTk2ODU3OA==,uswds,uswds/uswds,False,https://github.com/uswds/uswds,"The U.S. Web Design System helps the federal government build fast, accessible, mobile-friendly websites.",False,https://api.github.com/repos/uswds/uswds,2015-05-20T19:10:10Z,2024-12-20T10:11:12Z,2024-12-20T17:54:32Z,https://designsystem.digital.gov,172115,6839,6839,SCSS,True,True,True,True,False,True,938,,False,False,511,True,False,False,"['design', 'design-systems', 'government', 'uswds']",public,938,511,6839,develop,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
37684909,MDEwOlJlcG9zaXRvcnkzNzY4NDkwOQ==,uswds-for-designers,uswds/uswds-for-designers,False,https://github.com/uswds/uswds-for-designers,USWDS visual design and UX assets,False,https://api.github.com/repos/uswds/uswds-for-designers,2015-06-18T21:03:50Z,2024-11-15T19:21:03Z,2024-11-15T19:21:08Z,https://designsystem.digital.gov,182427,182,182,Shell,True,True,True,True,False,False,43,,False,False,5,True,False,False,"['adobe', 'government', 'sketch', 'sketch-libraries', 'stickersheet', 'uswds', 'uswds-tokens', 'ux-design', 'visual-design']",public,43,5,182,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
64315743,MDEwOlJlcG9zaXRvcnk2NDMxNTc0Mw==,uswds-site,uswds/uswds-site,False,https://github.com/uswds/uswds-site,USWDS website and documentation,False,https://api.github.com/repos/uswds/uswds-site,2016-07-27T14:32:49Z,2024-12-19T17:28:39Z,2024-12-20T16:21:29Z,https://designsystem.digital.gov,347858,194,194,HTML,True,True,True,True,False,False,150,,False,False,385,True,False,False,"['design-system', 'documentation', 'government', 'gulp', 'jekyll', 'uswds']",public,150,385,194,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
72852005,MDEwOlJlcG9zaXRvcnk3Mjg1MjAwNQ==,public-sans,uswds/public-sans,False,https://github.com/uswds/public-sans,"A strong, neutral, principles-driven, open source typeface for text or display",False,https://api.github.com/repos/uswds/public-sans,2016-11-04T13:51:35Z,2024-12-20T07:26:55Z,2024-12-16T17:54:22Z,https://public-sans.digital.gov/,401514,4497,4497,HTML,True,True,True,True,False,False,103,,False,False,69,True,False,False,"['font', 'geometric', 'ofl', 'sans-serif', 'sil', 'typeface']",public,103,69,4497,develop,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
129797736,MDEwOlJlcG9zaXRvcnkxMjk3OTc3MzY=,uswds-sandbox,uswds/uswds-sandbox,False,https://github.com/uswds/uswds-sandbox,11ty site for rapid web prototyping and testing new work with USWDS,False,https://api.github.com/repos/uswds/uswds-sandbox,2018-04-16T19:54:10Z,2024-11-15T19:30:07Z,2024-12-18T18:15:09Z,,22123,20,20,HTML,True,True,True,True,False,False,14,,False,False,18,True,True,False,[],public,14,18,20,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,,,,,,False,False,False,False,True,
146655669,MDEwOlJlcG9zaXRvcnkxNDY2NTU2Njk=,luminance-tool,uswds/luminance-tool,False,https://github.com/uswds/luminance-tool,Hex -> HSL adjuster -> relative luminance,False,https://api.github.com/repos/uswds/luminance-tool,2018-08-29T20:35:07Z,2024-03-12T12:43:38Z,2021-05-10T00:32:49Z,,5565,9,9,JavaScript,True,True,True,True,False,False,3,,True,False,2,True,False,False,[],public,3,2,9,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
151474207,MDEwOlJlcG9zaXRvcnkxNTE0NzQyMDc=,uswds-gulp,uswds/uswds-gulp,False,https://github.com/uswds/uswds-gulp, A simple Gulp 4.0 workflow for transforming USWDS Sass into browser-readable CSS.,False,https://api.github.com/repos/uswds/uswds-gulp,2018-10-03T20:11:26Z,2024-03-12T12:43:45Z,2023-03-01T05:07:35Z,,1366,35,35,JavaScript,True,True,True,True,False,False,17,,True,False,3,True,False,False,[],public,17,3,35,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
254159328,MDEwOlJlcG9zaXRvcnkyNTQxNTkzMjg=,uswds-team,uswds/uswds-team,False,https://github.com/uswds/uswds-team,USWDS team- and product-level epics and issues. This repo contains no design system code.,False,https://api.github.com/repos/uswds/uswds-team,2020-04-08T17:44:25Z,2024-11-21T12:38:39Z,2024-12-17T16:31:38Z,,63,9,9,,True,True,True,True,False,False,1,,False,False,76,True,False,False,[],public,1,76,9,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
446523749,R_kgDOGp1pZQ,uswds-tutorial,uswds/uswds-tutorial,False,https://github.com/uswds/uswds-tutorial,"A tutorial project to learn about installing, compiling, and customizing with USWDS",False,https://api.github.com/repos/uswds/uswds-tutorial,2022-01-10T17:43:05Z,2024-11-07T20:21:41Z,2024-12-16T17:45:58Z,,564,29,29,HTML,True,True,True,True,False,False,23,,False,False,10,True,True,False,[],public,23,10,29,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
449393003,R_kgDOGskxaw,uswds-compile,uswds/uswds-compile,False,https://github.com/uswds/uswds-compile,Simple Gulp 5 functions for copying USWDS static assets and transforming USWDS Sass into browser-readable CSS.,False,https://api.github.com/repos/uswds/uswds-compile,2022-01-18T18:03:10Z,2024-12-19T01:32:25Z,2024-12-19T01:32:21Z,,806,20,20,JavaScript,True,True,True,True,False,False,14,,False,False,17,True,False,False,[],public,14,17,20,develop,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
753231725,R_kgDOLOVnbQ,uswds-proposals,uswds/uswds-proposals,False,https://github.com/uswds/uswds-proposals,Proposals for USWDS components,False,https://api.github.com/repos/uswds/uswds-proposals,2024-02-05T18:10:35Z,2024-12-18T15:23:31Z,2024-12-20T15:05:19Z,,116,4,4,,True,True,True,False,False,False,1,,False,False,17,True,False,False,[],public,1,17,4,main,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
797264247,R_kgDOL4VJdw,web-components,uswds/web-components,False,https://github.com/uswds/web-components,Work on the next version of USWDS will happen here,False,https://api.github.com/repos/uswds/web-components,2024-05-07T14:02:40Z,2024-12-19T20:44:32Z,2024-12-16T16:08:49Z,https://federalist-c7964e49-2db7-4585-85f1-49d23b9329cb.sites.pages.cloud.gov/site/uswds/uswds-next/,2661,30,30,JavaScript,True,True,True,True,False,True,5,,False,False,68,True,False,False,[],public,5,68,30,develop,uswds,35542662,MDEyOk9yZ2FuaXphdGlvbjM1NTQyNjYy,Organization,public,False,,,,,,False,False,False,False,True,
